Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,2.05349,2.09273,2.05349,2.07965,56100,28,355252
2010-01-05,2.08946,2.10254,2.07965,2.07965,30900,8,197457
2010-01-06,2.09273,2.12543,2.02733,2.02733,66500,92,426288
2010-01-07,2.04368,2.11889,2.02733,2.07311,15300,15,96176
2010-01-08,2.08619,2.09273,2.03714,2.08619,104400,67,662353
2010-01-11,2.09273,2.15813,2.09273,2.15813,45300,43,293038
2010-01-12,2.096,2.15486,2.09273,2.15486,43000,30,278871
2010-01-13,2.15159,2.19082,2.11235,2.19082,44700,38,298695
2010-01-14,2.19082,2.20718,2.17448,2.20718,5200,10,35060
2010-01-15,2.25622,2.25622,2.2039,2.23987,58700,17,398266
2010-01-18,2.25622,2.32162,2.25622,2.32162,276300,35,1947755
2010-01-19,2.32162,2.3674,2.25622,2.302,64200,31,454468
2010-01-20,2.28892,2.28892,2.25622,2.28892,62800,19,436090
2010-01-21,2.32162,2.35105,2.19082,2.28892,82300,29,582096
2010-01-22,2.23987,2.28892,2.22352,2.28892,13800,14,94500
2010-01-26,2.25622,2.25622,2.15813,2.21698,39200,19,267367
2010-01-27,2.22352,2.28892,2.15813,2.20718,62800,126,424471
2010-01-28,2.15813,2.23987,2.12543,2.20718,52400,35,346439
2010-01-29,2.27257,2.27257,2.15813,2.25622,41900,14,281587
2010-02-01,2.19409,2.28892,2.19409,2.28892,38700,17,267473
2010-02-02,2.28892,2.28892,2.25295,2.28892,56600,11,396099
2010-02-03,2.29546,2.35432,2.28892,2.34778,47100,12,331308
2010-02-04,2.28892,2.28892,2.08946,2.2039,59800,99,397135
2010-02-05,2.10581,2.15813,1.97828,2.09273,83500,47,530975
2010-02-08,2.09273,2.15813,2.06003,2.09273,35300,12,225907
2010-02-09,2.14178,2.14178,2.14178,2.14178,500,2,3275
2010-02-10,2.14178,2.17448,2.12543,2.15813,16700,5,108790
2010-02-11,2.14178,2.25622,2.14178,2.19082,18700,13,125277
2010-02-12,2.12543,2.14178,2.02733,2.12543,42100,193,268935
2010-02-17,2.11235,2.22025,2.11235,2.18755,10900,14,72036
2010-02-18,2.10908,2.15813,2.09273,2.15813,190200,32,1226701
2010-02-19,2.11562,2.14178,2.11562,2.14178,165100,16,1074470
2010-02-22,2.10908,2.14178,2.10908,2.14178,100200,2,646310
2010-02-23,2.14178,2.14178,2.12216,2.12216,60200,11,391798
2010-02-24,2.12543,2.12543,2.12216,2.12543,44400,8,288570
2010-02-25,2.06657,2.06984,2.02406,2.02406,308200,40,1911948
2010-02-26,2.07638,2.08292,2.01425,2.04368,27300,28,170715
2010-03-01,2.10254,2.10254,2.03387,2.08292,22500,183,142843
2010-03-02,2.12543,2.12543,2.08292,2.09273,61000,19,395341
2010-03-03,2.12216,2.15813,2.07311,2.09273,3700,10,23665
2010-03-04,2.11889,2.11889,2.02733,2.04368,19100,18,120884
2010-03-05,2.04368,2.07965,2.04368,2.06003,82100,35,517102
2010-03-08,2.01098,2.02733,2.00771,2.02733,123000,16,762488
2010-03-09,2.02079,2.02406,1.96193,2.02406,45400,30,279640
2010-03-10,2.02733,2.02733,2.01752,2.02733,15500,10,96041
2010-03-11,2.02733,2.02733,2.02733,2.02733,6900,9,42780
2010-03-12,2.10254,2.10254,1.99463,2.02733,5300,7,32633
2010-03-15,1.99463,2.04368,1.99463,2.04368,18100,6,111255
2010-03-16,2.04368,2.12543,2.02733,2.10254,92700,80,584003
2010-03-17,2.10254,2.15486,2.07638,2.07638,27100,20,173884
2010-03-18,2.09273,2.12216,2.06984,2.12216,106400,20,688010
2010-03-19,2.10908,2.10908,2.04368,2.09927,13000,18,83270
2010-03-22,2.07638,2.08946,2.04695,2.04695,4500,6,28524
2010-03-23,2.09273,2.12543,2.02733,2.12543,2342100,29,15222027
2010-03-24,2.12543,2.12543,2.09273,2.12216,16200,27,104702
2010-03-25,2.12543,2.15813,2.12543,2.15813,71000,74,464330
2010-03-26,2.15813,2.15813,2.12543,2.15813,13900,14,91269
2010-03-29,2.14178,2.14178,2.09273,2.14178,19800,17,128053
2010-03-30,2.15813,2.15813,2.06003,2.14178,43800,41,282819
2010-03-31,2.11235,2.17448,2.10908,2.17448,99100,19,654010
2010-04-01,2.16794,2.17121,2.12543,2.16794,1900,9,12554
2010-04-05,2.16794,2.19082,2.1287,2.19082,8500,18,56331
2010-04-06,2.13851,2.15813,2.13851,2.15813,33100,70,218114
2010-04-07,2.15159,2.15159,2.06003,2.08946,103200,67,660048
2010-04-08,2.06003,2.09273,2.00117,2.09273,17300,21,109254
2010-04-09,2.08946,2.09273,2.07638,2.07638,14900,7,94894
2010-04-13,2.06003,2.08946,2.03387,2.07638,8900,12,55823
2010-04-14,2.06003,2.08946,2.02733,2.08946,19200,19,121645
2010-04-15,2.09273,2.10908,2.06003,2.09273,69400,39,443264
2010-04-16,2.09273,2.09273,2.04695,2.08292,23600,41,150663
2010-04-19,2.04954,2.09643,2.0261,2.07633,24700,26,152706
2010-04-20,2.04284,2.13996,2.04284,2.13996,27500,36,171204
2010-04-22,2.12322,2.12322,2.09308,2.12322,9900,11,62603
2010-04-23,2.13661,2.13661,2.13661,2.13661,1900,4,12122
2010-04-26,2.11317,2.13996,2.10982,2.13996,20400,12,128809
2010-04-27,2.23358,2.23358,2.1578,2.17584,7200,21,43681
2010-04-28,2.17223,2.21914,2.16502,2.21914,36900,13,221692
2010-04-29,2.23358,2.25523,2.23358,2.25523,11300,8,70489
2010-04-30,2.16863,2.37791,2.12893,2.37791,80300,38,507496
2010-05-03,2.37791,2.38152,2.34544,2.37791,518500,22,3371885
2010-05-04,2.31296,2.37791,2.28049,2.34544,20300,17,130321
2010-05-05,2.34544,2.34544,2.29131,2.34544,10900,11,70270
2010-05-06,2.30935,2.34544,2.2444,2.29131,299000,27,1914250
2010-05-07,2.23719,2.26966,2.2011,2.26966,123500,24,765759
2010-05-10,2.30214,2.32739,2.27327,2.27327,13300,12,84086
2010-05-11,2.27327,2.30935,2.18306,2.2011,97300,49,592621
2010-05-12,2.2011,2.23719,2.18306,2.23719,48900,25,299010
2010-05-13,2.21914,2.23358,2.2011,2.23358,37500,27,230244
2010-05-14,2.27327,2.27327,2.06398,2.2011,319600,74,1907247
2010-05-17,2.16863,2.16863,2.09646,2.16502,41700,37,248244
2010-05-18,2.12893,2.13615,2.12893,2.13615,1900,2,11230
2010-05-19,2.13615,2.16502,2.07842,2.11089,29300,75,172366
2010-05-20,2.07481,2.12893,2.02429,2.06759,42000,47,241042
2010-05-21,2.02068,2.25523,2.02068,2.23719,8200,16,49937
2010-05-24,2.23719,2.23719,2.2011,2.23719,22200,6,135639
2010-05-25,2.22997,2.26966,2.19389,2.19749,6600,13,40559
2010-05-26,2.2011,2.23358,2.2011,2.23358,3800,4,23432
2010-05-28,2.23719,2.23719,2.22997,2.22997,10200,6,63196
2010-05-31,2.20471,2.27327,2.2011,2.27327,20000,15,124363
2010-06-01,2.25523,2.25523,2.16502,2.16502,106500,12,639150
2010-06-02,2.21914,2.21914,2.16502,2.21554,11000,8,66604
2010-06-04,2.2011,2.2011,2.2011,2.2011,1500,4,9150
2010-06-07,2.16863,2.16863,2.15058,2.15058,21200,12,126958
2010-06-08,2.11089,2.16502,2.05677,2.16502,71500,53,414550
2010-06-09,2.19749,2.23358,2.19749,2.23358,90500,5,551155
2010-06-11,2.23358,2.27327,2.13615,2.13615,48600,33,291773
2010-06-14,2.12893,2.17584,2.12893,2.16502,16000,4,95043
2010-06-15,2.18306,2.18306,2.16141,2.18306,2000,7,12089
2010-06-16,2.17945,2.23358,2.17945,2.23358,3900,6,23790
2010-06-17,2.2011,2.2011,2.16502,2.16502,7200,12,43593
2010-06-18,2.21914,2.21914,2.2011,2.2011,600,3,3665
2010-06-22,2.21914,2.23358,2.10368,2.21914,7400,19,45218
2010-06-23,2.16502,2.18306,2.14698,2.16502,15300,15,91684
2010-06-24,2.14698,2.16502,2.12893,2.16502,49600,52,293946
2010-06-25,2.16502,2.16502,2.16502,2.16502,2100,3,12600
2010-06-28,2.12893,2.12893,2.11089,2.11089,270200,26,1593912
2010-06-29,2.11089,2.12893,1.9846,2.12893,373500,24,2079296
2010-06-30,2.11089,2.12533,2.03873,2.12533,26600,15,154148
2010-07-01,2.05677,2.08203,2.03873,2.07481,35500,26,203206
2010-07-02,2.05677,2.07481,2.05677,2.07481,5700,5,32492
2010-07-05,2.05677,2.05677,2.05677,2.05677,71100,15,405270
2010-07-06,2.05677,2.1145,2.04233,2.05677,12300,14,70080
2010-07-07,2.05677,2.14337,2.05677,2.14337,145600,25,832319
2010-07-08,2.09285,2.14698,2.09285,2.12893,26500,13,157485
2010-07-12,2.16502,2.19749,2.16502,2.19749,2500,3,15027
2010-07-13,2.19749,2.20832,2.18667,2.20832,27600,14,167985
2010-07-14,2.16502,2.20832,2.16502,2.20832,12400,12,75162
2010-07-15,2.19749,2.19749,2.12893,2.16141,373800,54,2207997
2010-07-16,2.13976,2.17945,2.11089,2.13615,18500,21,109448
2010-07-19,2.11089,2.1578,2.11089,2.13615,57500,38,339074
2010-07-20,2.14698,2.2011,2.14698,2.16502,31100,22,187020
2010-07-21,2.1578,2.21914,2.13976,2.21914,79000,49,475183
2010-07-22,2.2011,2.30935,2.2011,2.30935,60800,32,377841
2010-07-23,2.2444,2.32379,2.2011,2.2011,76000,75,471005
2010-07-26,2.21914,2.30574,2.2011,2.26605,82200,70,507721
2010-07-27,2.29131,2.30214,2.2444,2.2444,7400,8,46097
2010-07-28,2.29131,2.29131,2.2444,2.27327,7900,13,49608
2010-07-29,2.27327,2.30214,2.20471,2.29492,142600,76,897258
2010-07-30,2.32379,2.32379,2.25523,2.32379,3600,6,22860
2010-08-02,2.32379,2.34183,2.32379,2.34183,1500,5,9677
2010-08-03,2.30935,2.33822,2.30935,2.33822,200,2,1288
