Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,7.71187,7.83427,7.71187,7.79315,349900,837,28476228
2010-01-05,7.83236,7.9318,7.81036,7.87921,307700,985,25341090
2010-01-06,7.84192,8.05611,7.84192,8.01308,512000,1001,42840342
2010-01-07,7.90503,7.95953,7.86391,7.95858,325400,927,27033079
2010-01-08,7.89833,8.01213,7.88877,7.92702,128300,643,10633732
2010-01-11,8.03125,8.14982,7.94997,8.07045,370200,1760,31257280
2010-01-12,7.98822,8.08766,7.85244,8.03221,520800,959,43762507
2010-01-13,8.03986,8.03986,7.88877,7.99396,163200,810,13579604
2010-01-14,7.99205,8.0083,7.88973,8.0083,177600,1071,14819047
2010-01-15,7.90025,8.0083,7.89642,7.95571,318300,865,26501503
2010-01-18,7.9471,8.02742,7.89069,8.00734,68800,246,5730028
2010-01-19,7.91746,8.02264,7.82758,8.02264,162700,596,13564617
2010-01-20,7.79793,8.00543,7.79793,7.98439,194000,985,16134927
2010-01-21,7.8706,8.03221,7.84574,7.92702,228900,1194,18927100
2010-01-22,7.88877,7.9232,7.71666,7.82279,1126400,1665,92047592
2010-01-26,7.7549,8.03221,7.66884,7.81801,271400,1078,21982445
2010-01-27,7.81228,7.98344,7.66597,7.79315,337500,1379,27514183
2010-01-28,7.80558,7.95571,7.7463,7.95571,196500,1018,16133616
2010-01-29,7.98248,8.03221,7.8773,7.92702,181800,876,15093261
2010-02-01,7.93754,8.03221,7.74725,7.98439,250100,975,20579842
2010-02-02,7.98248,8.12783,7.8467,7.94615,242900,1595,20176779
2010-02-03,7.94615,7.9624,7.79315,7.85913,262100,987,21540789
2010-02-04,7.85913,7.8773,7.48908,7.59904,350400,1692,27858477
2010-02-05,7.60191,7.76925,7.45848,7.76925,639000,2937,50582478
2010-02-08,7.70613,7.92607,7.58757,7.86965,537700,2929,43816728
2010-02-09,7.96718,8.03507,7.77594,8.00352,372600,1939,30769800
2010-02-10,8.00256,8.00256,7.83044,7.88877,410200,1711,33904895
2010-02-11,7.95093,7.95093,7.74725,7.82662,371800,1214,30436520
2010-02-12,7.86104,7.86487,7.64972,7.82662,315300,1519,25448787
2010-02-17,7.93562,7.97674,7.77403,7.86009,220400,1191,18047274
2010-02-18,7.82088,7.85052,7.73004,7.80176,304100,1088,24757163
2010-02-19,7.77403,7.82949,7.76064,7.82184,233200,922,19019145
2010-02-22,7.82949,7.91268,7.75682,7.83905,342600,1845,28022675
2010-02-23,7.7769,7.86391,7.70709,7.82088,299800,1764,24431092
2010-02-24,7.87826,7.87826,7.67841,7.82184,203600,890,16520669
2010-02-25,7.80845,7.88877,7.68892,7.88877,318700,1628,26024983
2010-02-26,7.84192,7.85435,7.70709,7.70709,521200,1332,42205162
2010-03-01,7.78742,7.78742,7.64207,7.72622,244000,1042,19613840
2010-03-02,7.71761,7.95571,7.71761,7.89642,403200,871,33173075
2010-03-03,7.93658,8.04942,7.89069,7.98439,1100,1,61413
2010-03-04,8.0383,8.09941,7.92093,7.98495,174900,825,14419726
2010-03-05,8.00241,8.08001,7.9607,8.08001,186800,911,15466964
2010-03-08,8.09456,8.20901,8.00726,8.18671,317500,1544,26614371
2010-03-09,8.14888,8.4777,8.11104,8.4389,507500,1649,43763985
2010-03-10,8.47285,8.48643,8.39525,8.48255,265800,821,23140423
2010-03-11,8.47285,8.47285,8.24588,8.38264,230100,876,19808180
2010-03-12,8.3904,8.3904,8.04121,8.18671,291200,1158,24584143
2010-03-15,8.08486,8.13433,7.95779,8.13433,271200,1030,22471303
2010-03-16,8.13433,8.24297,8.01308,8.24297,261600,1138,21930729
2010-03-17,8.24394,8.37876,8.1964,8.2934,264900,1072,22654467
2010-03-18,8.2934,8.371,8.21678,8.371,346700,1141,29614057
2010-03-19,8.371,8.39913,8.07031,8.15566,285800,1133,24153543
2010-03-22,8.08971,8.28371,8.01211,8.24394,159500,737,13410481
2010-03-23,8.28273,8.35063,8.13045,8.28371,237400,1201,20186626
2010-03-24,8.1838,8.20222,8.06061,8.12851,600,4,31872
2010-03-25,8.17507,8.20998,8.0674,8.19544,320900,1787,26964643
2010-03-26,8.19544,8.42629,8.10134,8.21581,189100,821,15915209
2010-03-29,8.28758,8.32445,8.18476,8.32445,204400,1056,17424261
2010-03-30,8.2934,8.3419,8.20901,8.3419,126800,578,10821028
2010-03-31,8.3419,8.3419,8.22066,8.2934,285400,1001,24389004
2010-04-01,8.35063,8.4292,8.28953,8.2934,520700,1502,44892666
2010-04-05,8.29438,8.38943,8.04994,8.19156,325100,1104,27331436
2010-04-06,8.12269,8.32541,8.06061,8.32541,429300,850,36453114
2010-04-07,8.25363,8.38458,8.23714,8.2449,382400,1093,32767823
2010-04-08,8.3031,8.41853,8.25654,8.39525,488700,1582,41965583
2010-04-09,8.35548,8.43114,8.23521,8.28273,326300,1346,27863066
2010-04-12,8.25751,8.25751,8.11687,8.1188,200300,644,16824333
2010-04-13,8.1188,8.15373,7.9025,7.98301,382400,1453,31414765
2010-04-14,8.00144,8.01211,7.84721,7.89571,456700,1453,37159096
2010-04-15,7.89668,7.91414,7.76767,7.88116,274400,1234,22144992
2010-04-16,7.81423,7.8637,7.74148,7.8637,272100,884,21868595
2010-04-19,7.86273,7.89183,7.73081,7.85691,186800,911,15057406
2010-04-20,7.85691,7.96555,7.85691,7.96555,244300,567,19938175
2010-04-22,7.91899,8.1935,7.82781,8.19156,394100,1410,32705539
2010-04-23,8.1935,8.22453,8.08098,8.16731,490600,1097,41246561
2010-04-26,8.11104,8.18573,8.08971,8.17701,176000,489,14767555
2010-04-27,8.16634,8.16634,7.86661,7.89183,347700,1636,28513563
2010-04-28,8.01987,8.01987,7.78028,7.95391,323400,1143,26374053
2010-04-29,7.92675,7.99756,7.84333,7.95294,362600,1464,29598142
2010-04-30,7.91414,8.01211,7.85691,7.95391,672700,1617,54946148
2010-05-03,7.95391,7.9898,7.86952,7.92966,496000,1743,40523503
2010-05-04,7.85691,7.95197,7.70365,7.85691,676000,1326,54515617
2010-05-05,7.79386,7.99271,7.77058,7.92287,349000,1465,28281420
2010-05-06,7.91414,7.91414,7.57658,7.88019,701700,2421,56396620
2010-05-07,7.80938,7.9025,7.65903,7.79871,442200,1947,35617477
2010-05-10,7.91026,8.08971,7.86758,8.01211,569000,2367,46581427
2010-05-11,7.96361,8.10911,7.89668,8.04121,361500,1043,29799141
2010-05-12,8.00338,8.16343,7.90929,8.13336,300100,799,25001435
2010-05-13,8.06643,8.06643,7.92093,8.00241,375000,1700,30833707
2010-05-14,7.92481,8.11104,7.82781,8.11104,405300,1058,33217386
2010-05-17,8.00726,8.10523,7.83848,8.10523,353900,868,29207416
2010-05-18,8.03733,8.11493,7.95779,8.07031,660800,2204,54961661
2010-05-19,8.07031,8.12656,7.89183,7.96361,568500,2157,46664028
2010-05-20,7.88407,7.89571,7.56591,7.56591,819800,2154,64786420
2010-05-21,7.56591,7.84624,7.56591,7.80841,421700,1854,33689196
2010-05-24,7.74148,7.91317,7.74148,7.89183,218100,851,17652653
2010-05-25,7.66291,7.90444,7.61732,7.88116,480600,1481,38365951
2010-05-26,7.83848,7.97234,7.72499,7.83557,470400,1910,37928656
2010-05-27,7.82878,7.96458,7.82878,7.94324,271100,1275,22062685
2010-05-28,7.95391,7.95391,7.81811,7.92675,347400,1153,28210815
2010-05-31,7.95391,8.00823,7.73081,7.93354,249700,711,20222564
2010-06-01,7.75021,8.02472,7.75021,7.91026,320300,986,26220147
2010-06-02,7.95391,8.09068,7.89862,8.07807,292000,1218,24066515
2010-06-04,7.86661,8.04994,7.86661,8.04994,369400,1122,30361605
2010-06-07,8.05091,8.06352,7.94324,7.98689,188400,757,15543557
2010-06-08,7.98786,8.02859,7.90541,7.96361,210300,981,17275934
2010-06-09,8.00144,8.09941,7.99756,8.04121,366700,1147,30365786
2010-06-10,8.04121,8.12754,8.01599,8.12754,341900,833,28475323
2010-06-11,8.02665,8.1964,8.00338,8.14791,147500,838,12293028
2010-06-14,8.14791,8.2449,8.06061,8.23521,249700,692,21067292
2010-06-15,8.19252,8.24394,8.10717,8.24394,204700,869,17252897
2010-06-16,8.14791,8.23424,8.09359,8.16925,352000,1273,29631198
2010-06-17,8.15081,8.19544,8.05091,8.07516,374000,1270,31176673
2010-06-18,8.07516,8.18476,8.01308,8.11007,220800,1126,18455390
2010-06-21,8.14791,8.23036,8.10911,8.20707,212300,819,17860956
2010-06-22,8.19059,8.3031,8.09068,8.25946,218900,975,18599244
2010-06-23,8.28371,8.3419,8.22551,8.3419,241200,1125,20654499
2010-06-24,8.17798,8.45927,8.15663,8.4001,470000,1794,40452226
2010-06-25,8.32832,8.52329,8.31474,8.49516,254300,1036,22084177
2010-06-28,8.43017,8.6038,8.43017,8.5747,169500,508,14892059
2010-06-29,8.4292,8.4874,8.3419,8.4195,470700,1556,40747501
2010-06-30,8.35161,8.4777,8.24975,8.37973,572200,1066,49414684
2010-07-01,8.31571,8.44181,8.1964,8.34287,498800,2172,42833529
2010-07-02,8.3128,8.50195,8.28079,8.4389,235100,805,20423698
2010-07-05,8.56403,8.57664,8.34967,8.4971,144600,422,12646812
2010-07-06,8.5262,8.67946,8.3807,8.468,264500,1050,23228812
