Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,9.42638,9.62589,9.18698,9.28673,232700,157,2193898
2010-01-05,9.37651,9.37651,9.20693,9.33661,59100,52,551574
2010-01-06,9.33661,9.35656,9.22688,9.31666,64400,77,601892
2010-01-07,9.37651,9.37651,9.27676,9.31666,109300,90,1023918
2010-01-08,9.47626,10.27426,9.36654,10.23436,782800,723,7702598
2010-01-11,10.32414,10.32414,9.86528,10.02489,302400,338,3055623
2010-01-12,9.91516,9.92514,9.77551,9.91516,61400,60,603935
2010-01-13,9.76553,10.12463,9.76553,9.82539,25100,51,246956
2010-01-14,9.82539,10.01491,9.74559,9.84533,30400,49,298868
2010-01-15,9.64583,9.97501,9.43636,9.81541,77200,117,746347
2010-01-18,9.86528,10.06479,9.68573,9.76553,54800,57,536964
2010-01-19,9.91516,9.91516,9.68573,9.72563,61200,34,599743
2010-01-20,9.71566,9.72563,9.47626,9.47626,121600,52,1160145
2010-01-21,9.42638,9.62589,8.97751,9.26678,74700,110,692347
2010-01-22,9.17701,9.28673,9.02738,9.14708,27300,41,250195
2010-01-26,9.14708,9.17701,8.78798,9.02738,125100,177,1121912
2010-01-27,8.97751,9.14708,8.85781,9.03736,38300,52,344433
2010-01-28,9.08723,9.08723,8.77801,8.97751,77100,75,687313
2010-01-29,9.10718,9.17701,8.98748,9.17701,40900,53,373400
2010-02-01,8.97751,9.14708,8.97751,9.14708,11400,25,104010
2010-02-02,9.17701,9.22688,8.98748,9.21691,31500,60,287893
2010-02-03,9.23686,9.23686,9.03736,9.07726,41600,48,381023
2010-02-04,8.98748,9.17701,8.77801,8.92763,23600,65,210962
2010-02-05,8.74808,8.85781,8.38898,8.58848,81600,94,703704
2010-02-08,8.84783,8.85781,8.67826,8.76803,19500,20,171873
2010-02-09,8.76803,8.97751,8.71816,8.86778,48200,61,425908
2010-02-10,9.00743,9.00743,8.67826,8.87776,12600,24,110572
2010-02-11,8.87776,9.12713,8.81791,9.12713,30100,48,271738
2010-02-12,9.17701,9.17701,8.91766,9.09721,31900,24,287927
2010-02-17,9.21691,9.22688,8.98748,9.18698,12400,14,113642
2010-02-18,9.18698,9.47626,9.17701,9.42638,104300,51,981888
2010-02-19,9.27676,9.71566,9.27676,9.47626,86800,79,829378
2010-02-22,9.47626,9.61591,9.19696,9.47626,39800,99,375139
2010-02-23,9.32663,9.51616,9.31666,9.47626,16600,33,155908
2010-02-24,9.46628,9.46628,9.23686,9.32663,53000,108,495227
2010-02-25,9.34658,9.77551,9.12713,9.77551,67800,56,651396
2010-02-26,9.85531,9.91516,9.49621,9.91516,61400,54,605389
2010-03-01,9.87526,9.87526,9.68573,9.68573,11900,30,117135
2010-03-02,9.68573,9.85531,9.57601,9.57601,16400,20,159720
2010-03-03,9.50618,9.70568,9.37651,9.67576,13400,29,127854
2010-03-04,9.67576,9.67576,9.27676,9.50618,28300,23,269511
2010-03-05,9.47626,9.58598,9.13711,9.56604,22700,35,215750
2010-03-08,9.62589,9.69571,9.43636,9.52613,8800,18,84959
2010-03-09,9.37651,9.67576,9.37651,9.67576,10800,20,104426
2010-03-10,9.68573,9.80543,9.54608,9.80543,23400,38,227572
2010-03-11,9.76553,9.76553,9.42638,9.57601,8000,15,76815
2010-03-12,9.81541,9.82539,9.41641,9.71566,51200,39,497470
2010-03-15,9.66578,9.71566,9.47626,9.71566,31500,27,304973
2010-03-16,9.40644,9.74559,9.40644,9.61591,352800,23,3401485
2010-03-17,9.71566,9.72563,9.57601,9.62589,9800,25,94558
2010-03-18,9.57601,9.73561,9.51616,9.60594,9000,17,86558
2010-03-19,9.52613,9.57601,9.39646,9.53611,15400,24,146745
2010-03-22,9.54608,9.56604,9.33661,9.51616,13800,24,131479
2010-03-23,9.52613,9.52613,9.39646,9.47626,9000,15,85418
2010-03-24,9.51616,9.51616,9.43636,9.47626,1600,6,15189
2010-03-25,9.55606,9.55606,9.40644,9.55606,18100,16,172905
2010-03-26,9.67576,10.02489,9.57601,9.97501,351900,434,3466911
2010-03-29,9.97501,10.11466,9.90519,10.02489,34400,65,345126
2010-03-30,10.02489,10.05481,9.92514,9.97501,17200,68,171986
2010-03-31,9.99496,10.37401,9.83536,10.37401,92800,105,945139
2010-04-01,10.32414,10.47376,10.03486,10.07476,23600,42,240886
2010-04-05,10.31416,10.31416,10.04484,10.06479,23900,34,241403
2010-04-06,10.31416,10.34409,9.97501,9.97501,11100,16,112251
2010-04-07,10.25431,10.25431,9.68573,9.97501,48700,74,485637
2010-04-08,10.05481,10.05481,9.72563,9.95506,92500,52,911024
2010-04-09,10.00494,10.07476,9.77551,10.07476,46300,38,462705
2010-04-12,9.95506,10.08473,9.80543,10.06479,8200,21,81564
2010-04-13,9.87526,10.05481,9.74559,10.05481,34400,46,344482
2010-04-14,10.07476,10.31416,9.94509,10.05481,764200,125,7705549
2010-04-15,10.34409,10.34409,9.92514,10.21441,27300,37,278480
2010-04-16,10.27426,10.36404,10.07476,10.22439,3100,9,31639
2010-04-19,10.27426,10.27426,9.92514,10.17451,41100,45,413569
2010-04-20,10.20443,10.20443,9.86528,9.86528,36500,33,363339
2010-04-22,9.86528,9.97501,9.86528,9.88523,22100,39,219575
2010-04-23,10.10468,10.10468,9.96504,9.96504,10500,21,105525
2010-04-26,10.04484,10.04484,9.82539,9.82539,14100,28,139831
2010-04-27,9.82539,9.82539,9.48623,9.48623,15700,24,151010
2010-04-28,9.84508,9.84508,9.24537,9.49525,8500,21,80219
2010-04-29,9.42529,10.005,9.24537,10.005,38800,58,372519
2010-04-30,9.97501,9.995,9.69515,9.97501,59700,32,594693
2010-05-03,9.94502,9.94502,9.65517,9.91504,14200,15,140780
2010-05-04,9.62519,9.71514,9.43528,9.54523,40000,61,380899
2010-05-05,9.32533,9.75512,9.31534,9.75512,23000,65,220461
2010-05-06,9.87506,9.87506,9.1954,9.57521,12600,23,120464
2010-05-07,9.73513,9.73513,9.31534,9.5952,21200,18,201118
2010-05-10,9.70514,9.76511,9.53523,9.56521,13600,19,130805
2010-05-11,9.70514,9.70514,9.49525,9.5952,24200,20,233720
2010-05-12,9.49525,9.94502,9.44527,9.7951,21200,25,206643
2010-05-13,9.73513,10.09495,9.61519,10.09495,45600,38,456978
2010-05-14,9.80509,9.94502,9.48525,9.76511,46800,137,454361
2010-05-17,9.57521,9.64517,9.3953,9.45527,47900,38,456083
2010-05-18,9.3953,9.52523,9.3953,9.44527,12800,11,120872
2010-05-19,9.26537,9.31534,9.04548,9.31534,29100,56,269531
2010-05-20,9.09545,9.09545,8.89555,9.09545,34700,33,313344
2010-05-21,9.3953,9.49525,9.33533,9.34533,9500,19,89018
2010-05-24,9.10544,9.34533,9.05547,9.33533,17000,41,155051
2010-05-25,9.1954,9.32533,9.17541,9.32533,13200,12,122554
2010-05-26,9.44527,9.44527,8.54572,8.54572,67200,91,591507
2010-05-27,8.95552,9.06546,8.7856,8.9855,62200,76,554421
2010-05-28,8.9855,9.14542,8.9855,9.14542,13200,13,120415
2010-05-31,9.1954,9.29535,8.9955,9.28535,34900,39,320179
2010-06-01,9.29535,9.29535,8.89555,8.89555,15200,22,136837
2010-06-02,8.97551,9.14542,8.81559,8.81559,27700,38,247442
2010-06-04,8.83558,8.94552,8.75562,8.94552,8400,19,74722
2010-06-07,8.84558,8.88556,8.76562,8.76562,8600,15,75639
2010-06-08,8.75562,8.9955,8.71564,8.71564,20600,42,180125
2010-06-09,8.8056,8.89555,8.7956,8.7956,3000,9,26502
2010-06-10,8.94552,9.24537,8.94552,9.09545,7100,30,64707
2010-06-11,9.24537,9.24537,9.1954,9.1954,2900,2,26685
2010-06-14,9.0055,9.16541,8.9955,9.16541,15300,29,139640
2010-06-15,9.1854,9.1854,9.01549,9.17541,7000,33,63796
2010-06-16,9.22538,9.22538,9.07546,9.20539,20000,11,182972
2010-06-17,9.23538,9.23538,9.05547,9.1954,7900,12,72072
2010-06-18,9.21539,9.21539,9.07546,9.1954,8900,14,81359
2010-06-21,9.25537,9.25537,8.89555,8.94552,52000,70,468168
2010-06-22,8.85557,8.9955,8.76562,8.95552,31800,40,283479
2010-06-23,8.91554,8.9955,8.7856,8.89555,35600,46,315763
2010-06-24,8.96552,8.96552,8.68565,8.7956,30600,59,269012
2010-06-25,8.7956,8.89555,8.71564,8.83558,20500,35,180576
2010-06-28,8.83558,8.86556,8.69565,8.84558,26600,54,233697
2010-06-29,8.74562,8.74562,8.61569,8.71564,13500,40,117265
2010-06-30,8.69565,9.1954,8.69565,9.1854,88600,73,801145
2010-07-01,8.92554,9.06546,8.84558,9.04548,23900,20,214477
2010-07-02,8.8056,9.09545,8.8056,9.09545,5800,9,52602
2010-07-05,8.9955,9.09545,8.9955,9.07546,9100,6,82590
2010-07-06,9.24537,9.24537,8.86556,8.88556,68200,53,609954
2010-07-07,9.08545,9.08545,8.88556,8.94552,19400,23,173252
2010-07-08,8.86556,9.08545,8.86556,9.03548,9700,36,87172
2010-07-12,9.15542,9.15542,8.92554,8.92554,10000,69,90035
2010-07-13,9.08545,9.08545,8.73563,8.75562,72100,90,638221
2010-07-14,8.84558,8.97551,8.83558,8.97551,10100,49,90006
2010-07-15,8.94552,8.9955,8.8056,8.8056,8300,42,73648
2010-07-16,8.89555,8.89555,8.73563,8.88556,107300,22,954384
2010-07-19,8.74562,8.84558,8.74562,8.75562,270700,26,2383705
2010-07-20,8.7956,8.7956,8.71564,8.71564,147000,23,1292508
2010-07-21,8.71564,8.87556,8.67566,8.73563,44100,92,384933
2010-07-22,8.74562,8.82558,8.71564,8.71564,14700,40,128984
2010-07-23,8.84558,8.87556,8.68565,8.7956,89000,101,779205
2010-07-26,8.82558,8.9955,8.82558,8.87556,33300,61,296214
2010-07-27,8.86556,8.97551,8.7956,8.89555,32600,96,288238
2010-07-28,8.89555,8.97551,8.7856,8.96552,13600,33,120698
2010-07-29,8.89555,8.97551,8.88556,8.95552,27100,95,241895
2010-07-30,9.03548,9.13543,8.81559,9.13543,101600,367,920604
2010-08-02,9.05547,9.61519,9.04548,9.54523,177100,199,1645691
2010-08-03,9.51524,9.61519,9.49525,9.5952,31700,47,303411
2010-08-04,9.5952,9.7851,9.46527,9.50525,20400,72,197176
2010-08-05,9.69515,9.89505,9.65517,9.72513,22400,45,217645
2010-08-06,9.93503,9.97501,9.68515,9.68515,15400,28,149669
2010-08-09,9.69515,9.69515,9.52523,9.65517,17100,13,165595
2010-08-10,9.50525,9.63518,9.46527,9.46527,12900,14,123200
2010-08-11,9.46527,9.56521,9.1954,9.35532,15600,18,144849
2010-08-12,9.35532,9.49525,9.17541,9.46527,18400,43,173841
2010-08-13,9.3953,9.74512,9.30535,9.30535,370400,100,3543583
2010-08-16,9.69515,9.69515,9.1954,9.43528,28600,40,266988
2010-08-17,9.49525,9.71514,9.37531,9.54523,51000,115,484879
2010-08-18,9.5952,9.94502,9.5952,9.89505,60300,60,587760
2010-08-19,9.70514,9.91504,9.64517,9.89505,43900,34,430622
2010-08-20,9.75512,9.89505,9.73513,9.89505,39600,38,390386
2010-08-23,9.77511,9.90504,9.74512,9.77511,26200,22,256096
2010-08-24,9.64517,9.64517,9.49525,9.54523,45600,49,435256
2010-08-25,9.54523,9.82508,9.44527,9.5952,77800,135,746776
2010-08-26,9.68515,9.86506,9.49525,9.49525,20000,21,191266
2010-08-27,9.74512,9.87506,9.69515,9.82508,12300,39,119863
2010-08-30,9.58521,9.82508,9.58521,9.69515,5700,11,55453
2010-08-31,9.84508,9.84508,9.47526,9.68515,37700,52,362926
2010-09-01,9.51524,9.77511,9.51524,9.77511,4000,10,39043
2010-09-02,9.52523,9.73513,9.52523,9.73513,4400,12,42580
2010-09-03,9.73513,9.73513,9.55522,9.69515,7300,12,70590
2010-09-06,9.70514,9.83508,9.70514,9.83508,400,3,3897
2010-09-08,9.65517,9.73513,9.5952,9.69515,30300,27,293291
2010-09-09,9.5952,9.69515,9.54523,9.68515,8400,10,81035
2010-09-10,9.67516,9.84508,9.40529,9.40529,36000,30,343361
2010-09-13,9.5952,9.77511,9.57521,9.57521,13000,18,124903
2010-09-14,9.61519,9.62519,9.30535,9.30535,10400,28,97874
2010-09-15,9.30535,9.56521,9.30535,9.56521,1900,12,17997
2010-09-16,9.5952,9.60519,9.34533,9.52523,3700,23,35124
2010-09-17,9.5952,9.5952,9.49525,9.49525,1900,8,18071
2010-09-20,9.52523,9.54523,9.42529,9.42529,6100,10,57789
2010-09-21,9.52523,9.52523,9.33533,9.52523,8800,20,83626
2010-09-22,9.42529,9.69515,9.42529,9.54523,4300,14,41309
2010-09-23,9.49525,9.54523,9.3953,9.54523,11700,21,110859
2010-09-24,9.54523,9.84508,9.50525,9.57521,38200,98,369469
2010-09-27,9.60519,9.72513,9.50525,9.72513,8100,15,77427
2010-09-28,9.69515,9.69515,9.63518,9.67516,6600,8,63947
2010-09-29,9.71514,9.74512,9.52523,9.69515,23400,23,226219
2010-09-30,9.68515,9.84508,9.57521,9.69515,8500,17,82840
2010-10-01,9.69515,9.84508,9.37531,9.56521,46800,78,445974
2010-10-04,9.52523,9.7851,9.52523,9.73513,9400,19,90321
2010-10-05,9.73513,10.08496,9.70514,9.86506,89900,68,890314
2010-10-06,9.69515,9.89505,9.68515,9.7851,19200,43,187912
2010-10-07,9.88506,9.88506,9.68515,9.76511,69200,72,673066
2010-10-08,9.76511,9.88506,9.73513,9.7951,5300,19,52005
2010-10-11,9.69515,9.7951,9.64517,9.74512,16100,82,156477
2010-10-13,9.74512,10.24487,9.69515,9.69515,103900,76,1018877
2010-10-14,9.65517,9.70514,9.50525,9.69515,670000,88,6432226
2010-10-15,9.76511,10.24487,9.76511,10.005,116200,192,1168603
2010-10-18,10.04498,10.24487,9.80509,9.985,65700,22,646549
2010-10-19,9.995,10.15492,9.90504,9.995,16400,26,163996
2010-10-20,9.90504,9.995,9.89505,9.89505,34000,25,337527
2010-10-21,9.81509,9.985,9.7951,9.93503,9800,67,96951
2010-10-22,9.985,10.09495,9.80509,9.985,21400,87,212342
2010-10-25,9.985,10.005,9.85507,9.85507,31900,41,315957
2010-10-26,9.84508,10.08496,9.81509,9.84508,62900,34,619727
2010-10-27,10.04498,10.04498,9.83508,9.985,3300,4,33018
2010-10-28,9.985,10.07496,9.93503,9.995,14000,23,139722
2010-10-29,9.86506,10.3848,9.7951,10.1949,183100,75,1846370
2010-11-01,10.24487,10.24487,10.04498,10.1949,119500,33,1218387
2010-11-03,10.09495,10.25487,10.02498,10.15492,17400,34,176857
2010-11-04,10.15492,10.37481,10.11494,10.37481,39100,36,401042
2010-11-05,10.07496,10.74463,10.07496,10.69465,21900,69,228707
