Date,Open,High,Low,Close,Volume,Neg,Fin
2012-04-11,4.57163,4.57163,4.57163,4.57163,200,1,4002
2012-04-17,4.56935,4.56935,4.56935,4.56935,5000,1,100000
2012-04-20,4.59219,4.59219,4.59219,4.59219,2400,1,48240
2012-04-23,4.56935,4.56935,4.56935,4.56935,95100,3,1902000
2012-04-24,4.56935,4.56935,4.56935,4.56935,1000,1,20000
2012-05-02,5.02628,5.02628,5.02628,5.02628,1000,2,22000
2012-05-07,4.79781,4.79781,4.79781,4.79781,2700,1,56700
2012-05-09,4.56935,4.56935,4.56935,4.56935,8900,10,178000
2012-05-14,4.56935,4.56935,4.56935,4.56935,3100,3,62000
2012-05-15,4.56935,4.56935,4.56935,4.56935,1500,1,30000
2012-05-16,4.57163,4.57163,4.57163,4.57163,200,1,4002
2012-05-17,4.56935,4.56935,4.56935,4.56935,37300,3,746000
2012-05-18,4.56935,4.56935,4.56935,4.56935,400,1,8000
2012-05-23,4.63789,4.63789,4.38657,4.38657,55100,4,1101950
2012-05-29,4.34545,4.34545,4.34088,4.34088,800,3,15206
2012-06-01,4.34088,4.34088,4.34088,4.34088,10000,4,190000
2012-06-06,4.34088,4.34088,4.34088,4.34088,39700,1,754300
2012-06-08,4.34088,4.34088,4.34088,4.34088,100,1,1900
2012-06-15,4.13069,4.13069,4.13069,4.13069,100,1,1808
2012-06-18,4.11241,4.11241,4.11241,4.11241,100,1,1800
2012-06-27,4.14668,4.14668,4.14668,4.14668,700,3,12705
2012-06-28,4.11241,4.11241,4.11241,4.11241,255000,6,4590000
2012-07-05,3.65776,4.1581,3.65776,4.1581,200,2,3421
2012-07-11,4.1581,4.1581,4.1581,4.1581,400,2,7280
2012-07-18,4.1581,4.1581,4.1581,4.1581,100,1,1820
2012-08-09,4.34088,4.34088,4.34088,4.34088,100,1,1900
2012-08-10,4.40942,4.40942,4.40942,4.40942,100,1,1930
2012-08-20,4.13983,4.13983,4.13983,4.13983,100,1,1812
2012-09-03,4.06672,4.06672,4.06672,4.06672,100,1,1780
2012-09-06,4.10099,4.10099,4.10099,4.10099,100,1,1795
2012-09-10,3.93192,3.93192,3.93192,3.93192,100,1,1721
2012-09-11,4.11241,4.11241,4.11241,4.11241,100,1,1800
2012-09-12,4.13526,4.13526,4.13526,4.13526,200,2,3620
2012-09-14,4.11241,4.11241,4.11241,4.11241,100,1,1800
2012-10-15,3.88394,3.88394,3.88394,3.88394,5100,5,86700
2012-10-16,3.88394,3.88394,3.88394,3.88394,300,1,5100
2012-10-22,3.88623,3.88623,3.88623,3.88623,1300,3,22113
2012-10-23,3.88623,3.88623,3.88623,3.88623,11800,4,200718
2012-10-24,3.88623,3.88623,3.88623,3.88623,4800,2,81648
2012-10-25,3.88623,3.88623,3.88623,3.88623,4500,3,76545
2012-10-29,3.88394,3.88394,3.88394,3.88394,18200,2,309400
2012-11-06,3.76971,3.76971,3.76971,3.76971,1200,1,19800
2012-11-14,4.08956,4.08956,4.08956,4.08956,100,1,1790
2012-11-19,4.08956,4.08956,4.08956,4.08956,100,1,1790
2012-11-27,4.11241,4.1147,4.11241,4.1147,4100,3,73801
2012-11-28,4.11241,4.11241,4.11241,4.11241,21600,4,388800
2012-12-10,4.11241,4.11241,4.11241,4.11241,700,1,12600
2012-12-13,4.11241,4.11241,4.11241,4.11241,2000,1,36000
2012-12-18,4.11241,4.11241,4.11241,4.11241,4900,1,88200
2012-12-19,4.11241,4.11241,4.11241,4.11241,5700,1,102600
2012-12-20,4.11241,4.11241,4.11241,4.11241,6700,1,120600
2012-12-21,4.1147,4.1147,4.1147,4.1147,3500,3,63035
2012-12-26,4.11241,4.11241,4.11241,4.11241,100,1,1800
2012-12-27,4.11241,4.11241,4.11241,4.11241,400,1,7200
2012-12-28,4.11241,4.11241,4.11241,4.11241,1700,3,30600
2013-01-03,4.11241,4.11241,4.11241,4.11241,100,1,1800
2013-01-04,4.11241,4.11241,4.11241,4.11241,600,2,10800
