Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,47.60733,47.65109,47.11726,47.25728,286900,1112,15561651
2010-01-05,47.58107,48.39495,47.30979,48.21992,352800,1160,19320583
2010-01-06,48.39495,48.75376,47.4148,47.74736,466800,1159,25644600
2010-01-07,47.4148,47.4148,46.55717,46.55717,545400,2269,29210018
2010-01-08,46.65344,47.24853,45.96208,45.96208,699100,2286,37051844
2010-01-11,46.19837,46.72345,45.50701,45.50701,654100,1732,34392512
2010-01-12,45.06944,45.53326,44.70189,45.06944,658400,1906,33964023
2010-01-13,45.59452,45.8133,44.78065,45.20947,498700,1938,25726005
2010-01-14,44.89441,45.69954,44.89441,44.90317,515800,1927,26623926
2010-01-15,45.15695,45.4195,43.73049,43.75674,632000,2396,32055203
2010-01-18,44.20306,46.04084,44.20306,44.63187,424900,1301,21963749
2010-01-19,44.36934,45.50701,44.36934,44.93817,1334900,3414,68839453
2010-01-20,44.92067,45.59452,44.32558,44.68439,672500,2129,34407318
2010-01-21,44.8069,45.437,44.29057,45.04319,359200,1536,18433684
2010-01-22,45.40199,47.03849,45.40199,46.53091,703500,2380,37254173
2010-01-26,46.74095,47.10851,45.94458,45.94458,730500,1456,38716311
2010-01-27,45.93583,46.7497,45.73454,46.27713,745700,2256,39313351
2010-01-28,46.46965,47.78236,46.46965,47.51982,1069600,3210,58007714
2010-01-29,48.00114,48.00114,46.39089,46.81096,496800,1263,26635372
2010-02-01,46.46965,46.97724,46.11961,46.97724,403800,1317,21544489
2010-02-02,46.81971,48.19367,46.81971,47.47606,1022400,2235,55756611
2010-02-03,47.85237,47.93113,46.72345,47.69485,489700,1306,26702176
2010-02-04,46.74095,47.53732,45.15695,45.15695,501200,1163,26386168
2010-02-05,45.15695,45.50701,42.70658,43.94052,525300,1746,26294637
2010-02-08,44.11554,45.34948,43.45045,45.23571,337500,1114,17254431
2010-02-09,45.64703,47.16977,45.64703,47.13476,727000,1777,38686633
2010-02-10,47.69485,48.28118,46.24212,46.50466,424500,1510,22767298
2010-02-11,46.79346,47.31854,45.61202,45.87456,480000,1313,25256381
2010-02-12,45.39324,46.20712,44.54436,45.24447,455100,1361,23423060
2010-02-17,44.99068,44.99068,44.33433,44.85066,424800,1805,21710889
2010-02-18,44.89441,45.34074,44.54436,44.98193,647700,1948,33129164
