Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,2091.90503,2103.82446,2056.14624,2068.06592,861100,594,3003317
2010-01-05,2079.9856,2085.94531,2044.2262,2056.14624,942200,1030,3260578
2010-01-06,2068.06592,2217.06201,2056.14624,2187.2627,4519000,1890,16371278
2010-01-07,2187.2627,2246.86084,2157.46338,2205.14233,2639500,1434,9816975
2010-01-08,2217.06201,2240.90088,2169.38306,2193.22266,1573700,1035,5812456
2010-01-11,2205.14233,2228.9812,2181.30298,2187.2627,1150500,1192,4251923
2010-01-12,2175.34302,2205.14233,2109.78442,2145.54346,1482800,1054,5358160
2010-01-13,2151.50342,2294.53955,2133.62378,2228.9812,2753300,1427,10294957
2010-01-14,2240.90088,2288.57983,2205.14233,2228.9812,1399600,906,5276742
2010-01-15,2205.14233,2228.9812,2151.50342,2175.34302,930900,407,3425004
2010-01-18,2193.22266,2246.86084,2163.4231,2211.10181,834600,404,3111312
2010-01-19,2217.06201,2389.89746,2217.06201,2330.29883,6448400,3322,25327720
2010-01-20,2324.33911,2419.69629,2246.86084,2252.8208,2694400,1190,10539373
2010-01-21,2300.49976,2300.49976,2145.54346,2145.54346,1541000,833,5726845
2010-01-22,2145.54346,2199.18237,2121.7041,2139.5835,888900,480,3209588
2010-01-26,2139.5835,2145.54346,2085.94531,2139.5835,1216000,668,4300595
2010-01-27,2139.5835,2175.34302,2097.86499,2145.54346,1072600,479,3852322
2010-01-28,2169.38306,2175.34302,2091.90503,2115.74438,636400,223,2268270
2010-01-29,2115.74438,2139.5835,2056.14624,2097.86499,1616200,720,5675130
2010-02-01,2103.82446,2115.74438,2068.06592,2085.94531,1771400,765,6183882
2010-02-02,2085.94531,2085.94531,1990.5874,1996.54736,5702200,2118,19325010
2010-02-03,1966.74829,2062.10596,1954.82849,2038.26648,10031500,3286,33891163
2010-02-04,1984.62769,2014.42725,1907.1499,1907.1499,7521900,3112,24509775
2010-02-05,1877.35083,1936.94958,1793.91272,1847.55139,6021900,1105,18930869
