Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,10.96543,11.24289,10.92497,11.15619,289400,240,5539260
2010-01-05,11.29491,11.29491,11.03479,11.14462,252200,247,4876785
2010-01-06,11.15619,11.22555,11.09838,11.18509,139500,102,2703949
2010-01-07,11.21399,11.27179,11.1215,11.21399,130000,160,2518769
2010-01-08,11.10416,11.50301,11.10416,11.4452,554100,194,10898432
2010-01-11,11.50301,11.53191,11.37006,11.47411,222500,271,4418368
2010-01-12,11.38162,11.93654,11.29491,11.55503,364300,380,7257030
2010-01-13,11.56081,11.70532,11.39318,11.53191,362500,255,7249025
2010-01-14,11.56081,11.61862,11.4452,11.61283,123800,123,2470294
2010-01-15,11.67064,11.79203,11.61862,11.67064,185100,100,3737174
2010-01-18,11.6822,12.10995,11.6822,11.78625,248500,136,5077529
2010-01-19,11.82093,11.82093,11.73422,11.79203,180100,150,3674737
2010-01-20,11.78625,11.79203,11.4452,11.53191,181800,118,3646537
2010-01-21,11.53191,11.53191,11.24289,11.34116,222700,216,4356085
2010-01-22,11.16196,11.3874,11.10994,11.3296,249400,310,4841243
2010-01-26,11.13306,11.43943,11.13306,11.21399,85000,88,1643663
2010-01-27,11.27179,11.27179,10.98277,11.14462,59000,102,1128606
2010-01-28,11.05214,11.29491,10.98277,10.98855,252100,101,4817768
2010-01-29,10.98277,11.03479,10.95965,11.01167,181800,110,3458251
2010-02-01,11.01167,11.26601,11.01167,11.26023,139100,74,2695974
2010-02-02,11.27179,11.27179,11.16196,11.27179,200600,132,3895342
2010-02-03,11.07526,11.24866,10.98277,11.08104,357300,528,6819473
2010-02-04,11.04058,11.08104,10.72265,10.9134,479500,220,9055788
2010-02-05,10.67063,10.92497,10.43941,10.57814,456600,298,8395759
2010-02-08,10.69375,10.69375,10.28334,10.37005,188400,178,3391540
2010-02-09,10.57236,10.65907,10.46253,10.62438,221900,140,4042741
2010-02-10,10.65907,10.83826,10.58392,10.65907,174500,123,3212707
2010-02-11,10.72843,10.98277,10.63595,10.89029,118300,77,2206673
2010-02-12,10.91918,10.92497,10.69375,10.78045,154100,50,2864617
2010-02-17,10.78045,11.04058,10.78045,10.89029,100200,220,1885103
2010-02-18,11.03479,11.03479,10.75734,10.89607,61200,44,1154410
2010-02-19,10.83826,10.98277,10.80936,10.89607,55400,62,1045973
2010-02-22,10.98277,10.98277,10.84982,10.92497,40700,87,769791
2010-02-23,10.60705,10.66485,10.28334,10.40473,533300,220,9640187
2010-02-24,10.40473,10.40473,9.86716,9.91339,994800,364,17245563
2010-02-25,10.04634,10.04634,9.62438,9.93652,597500,307,10116396
2010-02-26,10.0001,10.28912,9.83247,10.23132,346200,111,6066503
2010-03-01,10.28912,10.31225,10.12727,10.23132,347500,314,6145835
2010-03-02,10.23132,10.28912,10.029,10.11571,372500,704,6523629
2010-03-03,10.17351,10.19664,10.029,10.10415,109000,147,1906296
2010-03-04,10.266,10.266,10.05791,10.14461,418500,77,7347096
2010-03-05,10.20241,10.20241,9.80935,10.029,123800,156,2163082
2010-03-08,9.84403,10.09837,9.84403,10.029,75500,104,1308935
2010-03-09,10.10415,10.10415,9.94808,10.06369,203500,175,3530239
2010-03-10,10.09837,10.11571,9.95964,9.9712,109600,82,1901403
2010-03-11,10.05791,10.05791,9.86716,9.90761,107100,246,1834826
2010-03-12,10.17351,10.19085,9.90184,10.05791,65600,124,1135355
2010-03-15,10.16195,10.16195,9.9423,9.98276,75100,66,1302099
2010-03-16,10.10993,10.10993,9.97698,10.0001,50600,45,877121
2010-03-17,10.08103,10.08103,9.92496,10.04634,190200,125,3296505
2010-03-18,10.04634,10.05791,9.9712,10.029,118000,44,2044088
2010-03-19,10.05791,10.14461,9.88449,9.9712,119300,134,2055851
