Date,Open,High,Low,Close,Volume,Neg,Fin
2011-05-11,13.33359,13.33359,13.33359,13.33359,300,3,1119
2011-05-12,12.51141,12.51141,12.51141,12.51141,500,1,1750
2011-05-20,12.51141,12.51141,12.51141,12.51141,100,1,350
2011-05-23,12.51141,17.80195,12.51141,17.80195,1700,13,6661
2011-05-24,17.80195,23.23548,17.80195,18.94585,4800,22,27604
2011-05-25,18.23092,18.26666,18.23092,18.26666,1400,2,7147
2011-05-26,18.23092,18.23092,18.23092,18.23092,100,1,510
2011-05-30,16.0861,16.0861,16.0861,16.0861,100,1,450
2011-05-31,16.0861,16.0861,16.0861,16.0861,7000,1,31500
2011-06-07,17.48023,17.48023,17.48023,17.48023,100,1,489
2011-06-08,15.72863,15.72863,15.72863,15.72863,5600,8,24640
2011-06-09,17.15851,17.15851,17.15851,17.15851,100,1,480
2011-06-15,18.40965,18.40965,18.30241,18.30241,200,2,1027
2011-06-22,17.15851,17.15851,17.15851,17.15851,10200,4,48960
2011-06-24,17.15851,17.15851,17.15851,17.15851,500,3,2400
2011-06-30,16.44357,16.44357,14.29876,14.29876,1000,6,4200
2011-07-12,14.29876,14.29876,14.29876,14.29876,300,3,1200
2011-07-13,14.29876,14.29876,14.29876,14.29876,300,1,1200
2011-07-14,14.29876,14.29876,13.58382,13.58382,6500,9,24755
2011-07-18,13.58382,13.58382,13.58382,13.58382,300,1,1140
2011-07-21,14.29876,14.29876,14.29876,14.29876,1000,3,4000
2011-07-22,15.37116,15.37116,15.37116,15.37116,100,1,430
2011-07-27,13.22635,13.22635,13.22635,13.22635,200,1,740
2011-08-01,12.51141,12.51141,12.51141,12.51141,700,2,2450
2011-08-03,12.51141,12.51141,12.51141,12.51141,100,1,350
2011-08-04,14.65623,14.65623,14.65623,14.65623,200,2,820
2011-08-05,14.65623,14.65623,14.65623,14.65623,300,3,1230
2011-08-17,14.65623,14.65623,14.65623,14.65623,500,4,2050
2011-08-18,14.29876,14.29876,14.29876,14.29876,100,1,400
2011-08-29,15.37116,15.37116,15.37116,15.37116,1000,3,4300
2011-08-31,15.37116,15.37116,15.37116,15.37116,200,1,860
2011-09-02,14.29876,14.29876,14.29876,14.29876,300,2,1200
2011-09-09,14.12002,14.12002,13.58382,13.58382,400,2,1565
2011-10-06,13.86979,13.86979,13.86979,13.86979,100,1,388
2011-10-10,13.76255,13.76255,13.76255,13.76255,500,2,1925
2011-11-14,13.76255,13.76255,13.76255,13.76255,200,1,770
2011-11-18,10.93855,11.15303,10.93855,11.11728,1700,6,5213
2011-11-21,11.43901,11.43901,11.43901,11.43901,1500,4,4800
2011-12-15,12.51141,12.51141,12.51141,12.51141,100,1,350
2011-12-16,12.51141,17.12276,12.51141,17.12276,600,4,2745
2011-12-20,15.01369,15.01369,15.01369,15.01369,100,1,420
2011-12-27,14.29876,14.29876,14.29876,14.29876,100,1,400
2011-12-29,14.29876,14.29876,14.29876,14.29876,1000,3,4000
2012-02-03,14.29876,14.29876,14.29876,14.29876,400,2,1600
2012-02-09,14.29876,14.29876,14.29876,14.29876,500,1,2000
2012-02-10,14.29876,14.29876,14.29876,14.29876,500,1,2000
2012-02-13,14.29876,14.29876,14.29876,14.29876,100,1,400
2012-03-06,14.26301,14.26301,14.26301,14.26301,100,1,399
2012-04-03,12.51141,12.51141,12.51141,12.51141,400,3,1400
2012-05-02,10.72407,10.72407,10.72407,10.72407,500,2,1500
2012-05-03,13.94129,14.22726,13.94129,14.22726,1800,3,7028
2012-05-07,12.51141,12.51141,12.51141,12.51141,1700,4,5950
2012-05-08,13.97704,14.26301,13.97704,14.26301,200,2,790
2012-05-09,12.69015,14.08428,12.69015,14.08428,400,4,1459
2012-05-28,11.26027,13.76255,11.26027,13.76255,500,4,1645
2012-05-31,13.58382,13.58382,13.22635,13.22635,200,2,750
2012-06-04,10.72407,13.22635,10.11637,13.22635,2200,11,6724
2012-06-06,9.2227,12.51141,9.2227,12.51141,1800,12,5090
