Date,Open,High,Low,Close,Volume,Neg,Fin
2021-08-09,22.249759440789475,22.72442097552632,21.260881243421053,21.55754470263158,5898300,10689,129300683
2021-08-10,22.200315530921053,22.43764629828948,21.755320342105264,22.051983801315792,672000,1591,14951750
2021-08-11,22.16076040302632,23.238637638157897,21.854208161842102,22.74419853947369,135500,661,3078024
2021-08-12,22.843086359210528,22.843086359210528,21.755320342105264,22.061872583289475,183300,773,4136852
2021-08-13,22.33875847855263,23.733076736842108,21.864096943815788,23.733076736842108,1146000,1805,26532447
2021-08-16,24.435180256973688,24.939508137631577,23.57485622526316,23.77263186473684,198300,1231,4889020
2021-08-17,23.83196455657895,24.91973057368421,22.249759440789475,23.733076736842108,105800,358,2493842
2021-08-18,22.694754629605264,23.733076736842108,22.378313606447367,22.546422900000003,155800,677,3581428
2021-08-19,22.27942578671053,23.090305908552637,21.804764251973687,23.090305908552637,311700,981,7049542
2021-08-20,23.090305908552637,24.860397881842108,22.75408732144737,23.733076736842108,70400,438,1714249
2021-08-23,24.13851679776316,24.158294361710528,23.189193728289474,24.019851414078943,51100,130,1224353
2021-08-24,23.733076736842108,24.227515835526315,22.99141808881579,23.238637638157897,245700,746,5806122
2021-08-25,23.238637638157897,23.653966481052635,22.74419853947369,23.238637638157897,257500,285,6075503
2021-08-26,23.238637638157897,24.91973057368421,23.238637638157897,24.128628015789477,121400,597,2986860
2021-08-27,24.227515835526315,26.442602997631575,24.21762705355263,25.374614544473687,182000,1362,4709892
2021-08-30,25.87894242513158,26.14593953842105,25.48339114618421,25.888831207105262,125600,383,3287303
2021-08-31,26.195383448289476,27.38203728513158,25.819609733289475,26.838154276578948,443700,1317,12020071
2021-09-01,27.362259721184213,27.589701706578943,25.96794146289474,25.96794146289474,189000,450,5048404
2021-09-02,25.90860877105263,26.442602997631575,24.60328955052632,25.24606037881579,108100,340,2762200
2021-09-03,25.20650525092105,26.20527223026316,24.009962632105264,26.106384410526317,46400,252,1176829
2021-09-06,26.215161012236845,26.452491779605264,25.720721913552637,26.215161012236845,8000,37,210911
2021-09-08,26.215161012236845,26.215161012236845,23.990185068157896,24.435180256973688,107200,445,2656690
2021-09-09,24.32640365526316,25.750388259473684,24.32640365526316,25.700944349605265,21700,110,548462
2021-09-10,25.710833131578948,25.710833131578948,24.178071925657896,24.91973057368421,85400,306,2128965
2021-09-13,24.91973057368421,25.315281852631585,24.128628015789477,24.128628015789477,77300,310,1905989
2021-09-14,24.029740196052632,24.029740196052632,23.13974981842105,23.723187954868425,284600,1191,6748884
2021-09-15,24.2374046175,24.959285701578946,23.258415202105265,23.584745007236844,354400,658,8476357
2021-09-16,23.85174212052632,24.573623204605266,23.29797033,24.573623204605266,210100,1369,5054466
2021-09-17,24.524179294736843,25.19661646894737,23.189193728289474,24.504401730789475,260500,1114,6405340
2021-09-20,23.733076736842108,24.37584756513158,23.238637638157897,24.158294361710528,40100,220,969296
2021-09-21,24.692288588289472,24.692288588289472,23.94074115828948,24.623067114473685,26200,135,649599
2021-09-22,24.6131783325,24.84062031789474,23.584745007236844,23.733076736842108,188300,879,4557423
2021-09-23,23.83196455657895,24.06929532394737,23.456190841578948,23.723187954868425,99300,259,2381653
2021-09-24,23.71329917289474,24.385736347105265,23.179304946315792,24.07918410592105,58900,232,1417070
2021-09-27,23.733076736842108,24.019851414078943,22.022317455394735,22.74419853947369,258600,1447,5949364
2021-09-28,22.74419853947369,22.74419853947369,21.76520912407895,22.417868734342107,1655600,753,37338571
2021-09-29,22.546422900000003,23.238637638157897,21.755320342105264,21.755320342105264,144200,625,3252297
2021-09-30,21.873985725789478,22.714532193552632,21.3597690631579,22.25964822276316,4728000,1250,103883424
2021-10-01,22.843086359210528,22.843086359210528,21.616877394473683,22.15087162105263,36500,206,819271
2021-10-04,21.755320342105264,21.953095981578947,20.99388413013158,21.15210464171053,25800,166,556872
2021-10-05,21.22132611552632,22.249759440789475,20.242336700131577,20.32144695592105,67500,424,1428058
2021-10-06,19.876451767105262,21.409212973026317,19.738008819473684,20.627999197105265,96000,282,1955992
2021-10-07,21.735542778157896,22.032206237368424,20.815886054605265,21.330102717236844,58600,110,1264364
2021-10-08,22.15087162105263,23.71329917289474,21.003772912105266,21.63665495842105,58500,203,1279524
2021-10-11,21.646543740394737,22.042095019342103,21.06310560394737,21.755320342105264,40700,127,891939
2021-10-13,21.587211048552632,21.755320342105264,20.766442144736843,21.62676617644737,104300,391,2247899
2021-10-14,21.666321304342105,22.249759440789475,21.112549513815797,21.903652071710525,54200,362,1182892
2021-10-15,21.55754470263158,21.91354085368421,21.15210464171053,21.755320342105264,174700,266,3837166
2021-10-18,21.70587643223684,21.873985725789478,21.06310560394737,21.06310560394737,108800,451,2350458
2021-10-19,20.89499631039474,21.2312148975,20.331335737894737,20.707109452894738,51100,288,1076719
2021-10-20,20.8554411825,21.191659769605263,20.65766554302632,21.191659769605263,15000,92,318874
2021-10-21,20.73677579881579,20.885107528421056,19.67867612763158,20.865329964473688,37400,231,772892
2021-10-22,20.63788797907895,21.32021393526316,19.04579408131579,21.32021393526316,84000,391,1751878
2021-10-25,21.48832322881579,21.82454181592105,20.450001121578943,20.865329964473688,314100,781,6659329
2021-10-26,20.77633092671053,20.77633092671053,20.09400497052632,20.59833285118421,38600,234,796123
2021-10-27,20.934551438289475,20.934551438289475,20.242336700131577,20.262114264078942,78200,621,1625251
2021-10-28,20.024783496710526,20.73677579881579,19.67867612763158,20.07422740657895,85900,266,1756575
2021-10-29,20.27200304605263,20.27200304605263,18.94690626157895,19.827007857236843,138800,400,2769338
2021-11-01,19.77756394736842,20.608221633157896,19.25345850276316,19.708342473552637,274400,769,5479846
2021-11-03,20.27200304605263,20.450001121578943,19.639120999736843,19.77756394736842,253000,1258,5109646
2021-11-04,20.05444984263158,20.667554325,18.897462351710526,19.77756394736842,240300,702,4792323
2021-11-05,19.98522836881579,20.75655336276316,19.7281200375,19.7281200375,296800,2008,6038295
2021-11-08,19.391901450394737,20.766442144736843,19.391901450394737,20.766442144736843,107700,571,2194694
2021-11-09,20.766442144736843,20.766442144736843,19.56989952592105,19.56989952592105,105100,637,2139229
2021-11-10,19.58967708986842,19.76767516539473,18.78868575,18.78868575,40700,261,789612
2021-11-11,18.818352095921053,19.23368093881579,18.195358831578947,18.195358831578947,55500,374,1045508
2021-11-12,19.07546042723684,20.1038937525,18.274469087368423,19.77756394736842,359600,1681,7129233
2021-11-16,19.530344398026315,20.27200304605263,18.541466200657894,19.10512677315789,492600,2486,9544673
2021-11-17,19.20401459289474,20.766442144736843,18.55135498263158,20.07422740657895,289400,1965,5721994
2021-11-18,19.90611811302632,21.31032515328948,19.83689663921053,20.03467227868421,234400,1571,4790349
2021-11-19,20.28189182802632,21.13232707776316,20.17311522631579,20.36100208381579,234400,1593,4863958
2021-11-22,21.06310560394737,21.755320342105264,20.23244791815789,20.420334775657896,377700,2505,7947782
2021-11-23,20.27200304605263,20.469778685526315,18.90735113368421,19.579788307894734,291400,2110,5778993
2021-11-24,19.886340549078948,20.242336700131577,18.78868575,18.78868575,320200,1860,6253297
2021-11-25,18.798574531973685,19.47101170618421,18.452467162894735,18.78868575,213700,1374,4111667
2021-11-26,18.304135433289478,19.7281200375,18.24480274144737,18.78868575,407100,1656,7893379
2021-11-29,19.47101170618421,20.1038937525,18.848018441842104,19.085349209210527,404700,2486,7856464
2021-11-30,19.362235104473683,19.886340549078948,16.830706919210527,16.830706919210527,2145200,3713,38017557
2021-12-01,17.02848255868421,17.226258198157897,14.971615908157895,16.178047308947367,967900,4017,15443983
2021-12-02,16.761485445394737,17.058148904605265,16.22749121881579,17.058148904605265,577600,2155,9723223
2021-12-03,17.354812363815793,18.59091011052632,17.008704994736842,18.52168863671053,335400,1559,6112679
2021-12-06,18.68979793026316,19.124904337105264,17.552588003289475,17.552588003289475,156500,649,2827737
2021-12-07,17.839362680526314,18.36346812513158,17.64158704105263,18.145914921710528,87000,610,1574856
2021-12-08,18.68979793026316,19.322679976578947,18.195358831578947,18.64035402039474,339500,1231,6435116
