Date,Open,High,Low,Close,Volume,Neg,Fin
2021-02-11,12.12,13.18,11.5,11.9,27839800,49345,343804417
2021-02-12,11.92,11.93,11.11,11.59,6655900,16954,76213844
2021-02-17,11.6,11.6,10.8,11.29,3812100,7352,42505344
2021-02-18,11.28,11.3,10.75,11.2,2772700,7993,30551260
2021-02-19,11.14,11.85,11.0,11.81,3122300,7926,36313828
2021-02-22,11.5,11.64,11.01,11.33,1339100,5244,15119972
2021-02-23,11.3,11.64,11.09,11.64,1060600,3964,12081648
2021-02-24,11.66,12.34,11.65,12.18,2142900,2812,25773150
2021-02-25,12.18,12.5,11.71,12.09,1083800,5207,13300441
2021-02-26,12.15,12.17,11.51,11.75,475400,2065,5579412
2021-03-01,11.75,11.8,11.15,11.49,863900,1886,9857803
2021-03-02,11.49,11.78,10.65,11.25,1715900,3289,18799225
2021-03-03,11.25,11.25,10.13,10.5,2447700,6373,25621710
2021-03-04,10.51,10.74,9.92,10.01,2645600,6804,26967967
2021-03-05,9.95,10.4,9.77,10.07,1193300,4486,11874804
2021-03-08,10.05,10.12,9.37,9.45,1164900,4867,11223163
2021-03-09,9.53,9.83,8.7,8.8,1226300,2693,10910896
2021-03-10,8.8,8.94,8.1,8.4,3466600,2903,29361220
2021-03-11,8.4,9.3,8.4,9.3,3345000,1247,28905246
2021-03-12,9.05,10.05,9.05,10.0,734400,752,7174362
2021-03-15,10.17,10.47,9.8,10.12,647200,987,6509949
2021-03-16,10.06,10.46,9.3,9.3,817000,2876,7831609
2021-03-17,9.36,9.36,8.9,9.05,784900,1980,7168417
2021-03-18,9.05,9.08,8.49,8.49,371900,1089,3247618
2021-03-19,8.6,9.15,8.5,8.8,1152700,3467,10123635
2021-03-22,9.19,9.66,9.09,9.09,846200,2471,7882747
2021-03-23,9.22,10.05,9.22,9.9,2167300,5255,21152829
2021-03-24,10.06,10.17,9.76,9.9,571400,1925,5684938
2021-03-25,9.92,9.92,9.31,9.46,639500,2031,6098263
2021-03-26,9.68,9.92,9.06,9.07,401000,1250,3748717
2021-03-29,9.28,9.37,8.63,9.0,619800,1799,5525638
2021-03-30,9.0,9.27,8.73,9.19,803700,3273,7169744
2021-03-31,9.0,9.67,8.89,9.17,990900,1965,9140539
2021-04-01,9.06,9.27,8.82,9.0,623200,1297,5608124
2021-04-05,9.05,9.18,8.81,8.85,564600,1277,5045619
2021-04-06,8.89,9.39,8.71,9.3,472700,1221,4276254
2021-04-07,9.29,9.31,9.0,9.06,351900,864,3194826
2021-04-08,9.06,9.5,9.01,9.39,502200,1386,4642272
2021-04-09,9.3,9.55,9.08,9.35,396100,1395,3683546
2021-04-12,9.4,9.4,8.92,8.99,688700,1588,6231866
2021-04-13,9.01,9.08,8.95,9.0,310800,700,2801491
2021-04-14,9.0,9.08,8.67,8.71,571400,1439,5018901
2021-04-15,8.81,8.83,8.56,8.6,426200,1252,3688120
2021-04-16,8.6,8.74,8.41,8.46,615100,1481,5238080
2021-04-19,8.5,8.97,8.28,8.74,743800,2080,6430765
2021-04-20,8.71,9.04,8.63,9.0,954600,2167,8497071
2021-04-22,9.04,9.49,9.04,9.4,968600,2900,9048049
2021-04-23,9.38,9.87,9.18,9.61,1922300,3527,18358783
2021-04-26,9.61,9.69,9.21,9.21,545700,1889,5104666
2021-04-27,9.22,9.35,8.83,8.85,383600,1319,3436677
2021-04-28,8.9,8.96,8.67,8.85,629200,1885,5520203
2021-04-29,8.94,8.94,8.6,8.72,458400,1343,3997563
2021-04-30,8.72,9.39,8.69,9.02,768400,1469,6956345
2021-05-03,8.96,9.17,8.71,8.8,483300,1420,4294029
2021-05-04,8.8,8.91,8.65,8.85,205100,518,1800114
2021-05-05,8.85,8.9,8.67,8.79,421400,1535,3701295
2021-05-06,8.88,8.96,8.54,8.96,423000,1221,3708530
2021-05-07,8.95,9.08,8.7,8.99,535300,2621,4751406
2021-05-10,8.99,9.06,8.61,8.9,608400,2457,5337415
2021-05-11,8.75,8.76,8.5,8.57,914700,2917,7877751
2021-05-12,8.61,8.66,7.86,8.09,1465900,4302,11962654
2021-05-13,8.14,8.21,7.68,7.94,1661700,6380,13073236
2021-05-14,8.05,8.32,7.93,8.26,496900,1191,4049170
2021-05-17,8.26,8.26,7.94,7.95,490200,1481,3929292
2021-05-18,7.93,8.0,7.7,7.72,595200,2082,4634576
2021-05-19,7.78,7.9,7.37,7.83,831900,2306,6343473
2021-05-20,7.87,7.93,7.59,7.8,508400,1704,3965926
2021-05-21,7.84,7.9,7.68,7.76,239700,863,1861831
2021-05-24,7.75,7.82,7.53,7.55,562100,1665,4294674
2021-05-25,7.55,8.35,7.53,8.2,1414600,5160,11443456
2021-05-26,8.17,8.39,7.98,8.25,1607800,3030,13244010
2021-05-27,8.33,9.2,8.12,9.2,1586300,3047,13995042
2021-05-28,9.17,9.17,8.71,9.0,745700,2124,6660125
2021-05-31,9.15,9.57,8.96,9.52,701700,2292,6579708
2021-06-01,9.51,9.67,9.01,9.07,632000,2200,5795420
2021-06-02,9.16,9.29,8.93,9.29,353500,1139,3234033
2021-06-04,9.29,9.38,8.92,8.92,376700,1795,3404697
2021-06-07,8.97,9.1,8.76,8.85,290400,1120,2575242
2021-06-08,8.8,9.05,8.77,8.77,307600,1125,2738041
2021-06-09,8.83,8.98,8.54,8.77,341100,748,2991218
2021-06-10,8.85,9.24,8.83,9.14,984400,944,8881658
2021-06-11,9.09,9.19,8.78,8.9,231600,614,2063360
2021-06-14,8.92,9.12,8.69,8.75,442000,952,3887647
2021-06-15,8.8,8.88,8.62,8.78,663700,495,5806780
2021-06-16,8.78,8.89,8.7,8.89,120200,297,1060168
2021-06-17,8.89,8.92,8.44,8.65,424100,1240,3661996
2021-06-18,8.64,8.74,8.48,8.7,221000,710,1903233
2021-06-21,8.73,9.07,8.65,9.05,499000,1432,4444987
2021-06-22,9.08,9.23,8.95,9.23,405400,1210,3701499
2021-06-23,9.3,9.3,9.02,9.13,329500,859,3012212
2021-06-24,9.18,9.28,8.88,9.1,287800,898,2595521
2021-06-25,9.08,9.08,8.75,8.88,771500,963,6882095
2021-06-28,8.93,9.35,8.83,9.0,722100,1681,6537722
2021-06-29,8.99,9.11,8.81,8.9,285700,746,2555140
2021-06-30,8.9,9.2,8.81,9.2,1073900,1613,9779404
2021-07-01,9.28,9.38,9.06,9.37,302500,894,2797796
2021-07-02,9.43,10.0,9.24,10.0,949500,1984,9214444
2021-07-05,10.02,10.19,9.55,10.19,1110900,2471,11010783
2021-07-06,10.19,10.19,9.85,10.0,514500,1869,5152158
2021-07-07,10.1,10.1,9.35,10.0,778100,2293,7558282
2021-07-08,9.82,9.82,9.4,9.41,1062400,3239,10076511
2021-07-12,9.41,9.45,8.88,9.1,1064000,2362,9634405
2021-07-13,9.03,9.27,8.94,9.16,326300,1154,2979705
2021-07-14,9.14,9.25,8.75,8.87,556800,1519,4976912
2021-07-15,8.87,9.24,8.7,9.12,494100,1457,4412724
2021-07-16,9.05,9.21,8.85,8.86,1224000,1536,10948323
2021-07-19,8.78,8.82,8.46,8.76,472800,1497,4102536
2021-07-20,8.8,8.8,8.61,8.7,351200,1449,3056772
2021-07-21,8.85,9.0,8.63,8.92,414500,1344,3660043
2021-07-22,8.82,8.85,8.67,8.67,214400,864,1875304
2021-07-23,8.66,9.09,8.6,9.03,393000,1440,3498970
2021-07-26,8.9,8.99,8.66,8.84,332900,1929,2928442
2021-07-27,8.8,8.95,8.35,8.76,524200,2226,4496382
2021-07-28,8.69,8.83,8.59,8.75,381100,1025,3323686
2021-07-29,8.8,9.12,8.7,8.9,355800,881,3179220
2021-07-30,8.86,8.96,8.52,8.52,745900,1289,6515413
2021-08-02,8.55,8.77,8.2,8.7,401800,1421,3428247
2021-08-03,8.6,9.25,8.6,9.1,442500,1342,3995996
2021-08-04,9.09,9.75,8.99,9.7,783300,1775,7411372
2021-08-05,9.65,9.96,9.56,9.96,850800,1208,8281532
2021-08-06,9.9,10.3,9.81,10.15,445500,1513,4515392
2021-08-09,9.99,10.4,9.92,10.16,378500,1311,3845867
2021-08-10,10.15,10.36,9.86,9.89,314600,1386,3174402
2021-08-11,9.83,9.94,9.41,9.41,277300,983,2648662
2021-08-12,9.45,9.45,8.72,8.76,969500,1400,8659731
2021-08-13,8.87,8.87,8.34,8.34,685600,1487,5803202
2021-08-16,8.47,8.52,7.45,7.59,1548900,3448,11929797
2021-08-17,7.52,7.78,6.82,6.95,2020700,3099,14216144
2021-08-18,7.02,7.6,6.8,6.83,979300,2779,7036426
2021-08-19,6.69,7.4,6.69,7.26,781500,1916,5494084
2021-08-20,7.17,7.77,7.16,7.42,266200,807,1990619
2021-08-23,7.59,7.75,7.32,7.32,234200,957,1745139
2021-08-24,7.4,7.69,7.37,7.63,1016300,1346,7724483
2021-08-25,7.58,7.94,7.51,7.68,366600,1536,2837539
2021-08-26,7.51,7.8,7.41,7.59,328600,1022,2515942
2021-08-27,7.65,7.73,7.42,7.42,897600,1965,6776332
2021-08-30,7.55,7.68,7.2,7.24,599800,2994,4407729
2021-08-31,7.24,7.49,6.88,7.03,495200,1739,3521373
2021-09-01,7.04,7.3,6.81,7.01,1201800,2585,8308543
2021-09-02,6.95,6.95,6.5,6.5,974900,3846,6507127
2021-09-03,6.72,6.73,6.32,6.47,2611700,5417,16936028
2021-09-06,6.5,6.63,6.17,6.37,665900,1926,4242790
2021-09-08,6.34,6.48,5.9,6.11,1257700,5347,7703762
2021-09-09,6.14,6.16,5.67,6.07,689000,1969,4060542
2021-09-10,6.12,6.31,6.03,6.23,613200,2027,3798647
2021-09-13,6.39,6.46,6.0,6.02,531700,2231,3258025
2021-09-14,6.07,6.08,5.86,5.93,571000,2451,3388246
2021-09-15,5.9,5.96,5.7,5.81,663900,2172,3846524
2021-09-16,5.79,5.88,5.61,5.84,711300,1556,4080189
2021-09-17,5.73,5.88,5.62,5.76,523700,1090,2996271
2021-09-20,5.53,5.67,5.33,5.45,591500,1846,3246117
2021-09-21,5.6,5.9,5.51,5.86,329200,947,1891275
2021-09-22,5.94,6.02,5.73,5.93,364400,1330,2134969
2021-09-23,5.92,6.05,5.84,5.89,269600,683,1599470
2021-09-24,5.77,5.89,5.61,5.75,283000,942,1616419
2021-09-27,5.82,5.9,5.65,5.77,284700,923,1649577
2021-09-28,5.82,5.82,5.5,5.5,239400,538,1337542
2021-09-29,5.6,5.69,5.01,5.07,1487200,2939,7776599
2021-09-30,5.15,5.15,4.37,4.43,4263100,4150,19225530
2021-10-01,4.45,4.8,4.43,4.8,763800,2499,3540658
2021-10-04,4.84,4.84,4.38,4.4,853900,2272,3890341
2021-10-05,4.4,4.85,4.4,4.75,1183000,2743,5556640
2021-10-06,4.5,4.68,4.34,4.6,796900,3103,3553443
2021-10-07,4.51,4.65,4.34,4.34,591600,1234,2613397
2021-10-08,4.39,4.55,3.96,4.09,3088300,4503,12804947
2021-10-11,4.12,4.48,4.1,4.35,1076300,3833,4656578
2021-10-13,4.37,4.46,4.04,4.19,1543700,4750,6512573
2021-10-14,4.23,4.31,4.15,4.26,1672700,1451,7010502
2021-10-15,4.29,4.36,4.17,4.2,778300,1317,3296742
