Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,0.76,0.78,0.75,0.77,26000,8,19640
2011-03-03,0.69,0.78,0.69,0.71,212000,63,154690
2011-03-04,0.73,0.86,0.73,0.77,575000,122,450420
2011-03-09,0.83,0.9,0.79,0.84,286000,75,237150
2011-03-10,0.84,1.12,0.81,1.03,1324000,262,1269130
2011-03-11,1.05,1.05,0.83,0.83,1183000,348,1074760
2011-03-14,0.84,0.87,0.81,0.82,94000,44,79270
2011-03-15,0.78,0.8,0.75,0.8,210000,58,163780
2011-03-16,0.82,0.83,0.77,0.79,56000,21,43970
2011-03-17,0.79,0.82,0.77,0.77,119000,48,93950
2011-03-18,0.78,0.78,0.73,0.73,81000,22,61170
2011-03-21,0.78,0.78,0.66,0.66,201000,50,140090
2011-03-22,0.66,0.74,0.66,0.69,316000,102,222740
2011-03-23,0.69,0.69,0.67,0.68,22000,12,14960
2011-03-24,0.66,0.66,0.66,0.66,12000,6,7920
2011-03-25,0.65,0.65,0.63,0.63,50000,26,32040
2011-03-28,0.62,0.62,0.57,0.58,92000,32,55190
2011-03-29,0.56,0.59,0.56,0.56,34000,17,19260
2011-03-30,0.57,0.57,0.54,0.54,22000,9,12250
2011-03-31,0.54,0.55,0.53,0.53,10000,7,5410
2011-04-01,0.55,0.56,0.54,0.55,9000,7,4940
2011-04-04,0.57,0.6,0.57,0.59,65000,29,38040
2011-04-05,0.58,0.58,0.56,0.57,25000,8,14210
2011-04-06,0.56,0.64,0.56,0.57,212000,57,128830
2011-04-07,0.59,0.66,0.59,0.61,360000,85,226400
2011-04-08,0.6,0.62,0.58,0.59,99000,33,59360
2011-04-11,0.58,0.58,0.57,0.58,44000,12,25370
2011-04-12,0.57,0.63,0.57,0.63,43000,13,26540
2011-04-13,0.61,0.62,0.59,0.59,44000,14,26580
2011-04-14,0.58,0.58,0.58,0.58,4000,3,2320
2011-04-15,0.58,0.61,0.58,0.6,35000,12,20970
2011-04-18,0.59,0.59,0.57,0.57,16000,7,9240
2011-04-19,0.6,0.6,0.56,0.57,23000,9,13040
2011-04-20,0.59,0.62,0.57,0.6,99000,27,59280
2011-04-25,0.6,0.72,0.6,0.72,267000,44,176500
2011-04-26,0.75,0.95,0.75,0.88,982000,250,829050
2011-04-27,0.91,0.92,0.83,0.9,218000,69,187800
2011-04-28,0.9,0.95,0.87,0.94,228000,66,208280
2011-04-29,0.92,1.06,0.92,0.98,557000,190,555970
2011-05-02,0.99,1.1,0.98,1.1,278000,103,288420
2011-05-03,1.11,1.49,1.1,1.1,1458000,449,1813850
2011-05-04,0.98,1.0,0.8,0.81,1072000,370,971310
2011-05-05,0.79,0.84,0.73,0.77,462000,136,360010
2011-05-06,0.82,0.86,0.77,0.77,201000,70,161980
2011-05-09,0.78,0.89,0.75,0.86,409000,119,340300
2011-05-10,0.88,0.93,0.81,0.81,953000,251,828010
2011-05-11,0.84,0.84,0.76,0.79,202000,57,162240
2011-05-12,0.78,0.82,0.77,0.79,35000,12,27710
2011-05-13,0.77,0.77,0.74,0.74,40000,20,30200
2011-05-16,0.76,0.76,0.73,0.73,39000,19,28690
2011-05-17,0.74,0.75,0.73,0.73,43000,17,31680
2011-05-18,0.74,0.82,0.73,0.81,183000,59,140260
2011-05-19,0.83,0.88,0.73,0.74,389000,88,303850
2011-05-20,0.76,0.77,0.75,0.75,56000,25,42480
2011-05-23,0.74,0.74,0.73,0.74,23000,7,16970
2011-05-24,0.75,0.75,0.73,0.74,18000,13,13370
2011-05-25,0.75,0.76,0.73,0.75,51000,22,38020
2011-05-26,0.76,0.78,0.74,0.75,71000,24,54100
2011-05-27,0.77,0.82,0.76,0.78,109000,32,87300
2011-05-30,0.8,0.81,0.75,0.77,71000,24,54720
