Date,Open,High,Low,Close,Volume,Neg,Fin
2015-06-05,9.08715,9.45464,9.02033,9.28759,15536400,18858,214275840
2015-06-08,9.42791,9.47468,9.12055,9.20741,1648300,3804,22715018
2015-06-09,9.20741,9.2475,9.03369,9.12055,2161400,3028,29549281
2015-06-10,9.15396,9.40118,9.12724,9.35441,676000,1138,9393396
2015-06-11,9.36109,9.6885,9.25419,9.52814,1118600,916,15729891
2015-06-12,9.56823,9.81545,9.468,9.70855,787100,3986,11379784
2015-06-15,9.69518,9.78204,9.55486,9.78204,306400,1135,4431499
2015-06-16,9.77536,9.95577,9.66846,9.72191,824000,1901,12081294
2015-06-17,9.762,9.80877,9.49473,9.52146,468400,1144,6749284
2015-06-18,9.50809,9.75532,9.28759,9.75532,794500,1312,11327207
2015-06-19,9.74195,9.94909,9.48805,9.82213,524100,2272,7711200
2015-06-22,9.95577,9.95577,9.78872,9.87559,243600,502,3591323
2015-06-23,9.85554,9.85554,9.72191,9.75532,532700,971,7778960
2015-06-24,9.78872,9.86891,9.68182,9.69518,224200,710,3272194
2015-06-25,9.6885,9.6885,9.321,9.321,870300,2008,12246481
2015-06-26,9.30096,9.41455,8.92678,8.95351,1169900,2524,15856511
2015-06-29,8.92678,8.93346,8.58601,8.85328,3135800,2024,41293260
2015-06-30,8.85328,9.20073,8.63279,9.06042,1839700,1165,24952717
2015-07-01,9.20073,9.2141,8.90674,9.15396,1049400,758,14255989
2015-07-02,9.20741,9.41455,8.95351,9.40118,958800,929,13243612
2015-07-03,9.38782,9.60832,9.22078,9.48805,362900,647,5134416
2015-07-06,9.35441,9.48805,9.18737,9.3945,399500,402,5581027
2015-07-07,9.3945,9.40787,9.28759,9.35441,232800,325,3250993
2015-07-08,9.48805,9.62836,9.30096,9.35441,239500,335,3354764
2015-07-10,9.468,9.468,9.26087,9.35441,129800,289,1816293
2015-07-13,9.38782,9.41455,9.35441,9.38782,233600,789,3278308
2015-07-14,9.3945,9.41455,9.22078,9.321,217500,1157,3027840
2015-07-15,9.35441,9.45464,9.321,9.38782,102400,58,1434664
2015-07-16,9.35441,9.60832,9.35441,9.55486,137700,733,1964073
2015-07-17,9.55486,9.55486,9.42791,9.55486,176000,370,2501762
2015-07-20,9.49473,9.49473,9.24082,9.42123,431700,335,6048134
2015-07-21,9.35441,9.35441,9.26087,9.28759,136000,156,1892624
2015-07-22,9.321,9.34773,8.97355,9.34773,454400,853,6211253
2015-07-23,9.12724,9.35441,9.04037,9.34773,197400,752,2721142
2015-07-24,9.24082,9.34105,9.15396,9.22078,458100,873,6308529
2015-07-27,9.22078,9.25419,9.11387,9.15396,447400,262,6132719
2015-07-28,9.20741,9.35441,9.20741,9.34773,440500,214,6128270
2015-07-29,9.28091,9.41455,9.26087,9.38782,223000,71,3123750
2015-07-30,9.32769,9.41455,9.22746,9.40118,203700,349,2851408
2015-07-31,9.41455,9.48805,9.34105,9.48805,205600,224,2895901
2015-08-03,9.41455,9.62168,9.35441,9.55486,139100,371,1987120
2015-08-04,9.47468,9.55486,9.29428,9.55486,90800,484,1282125
2015-08-05,9.468,9.48137,9.35441,9.35441,443200,334,6209928
2015-08-06,9.34773,9.42123,9.20073,9.42123,283300,492,3963119
2015-08-07,9.41455,9.42123,9.15396,9.22078,71500,348,988525
2015-08-10,9.35441,9.35441,8.96687,8.9936,347700,1153,4703411
2015-08-11,9.02033,9.28759,8.92678,9.28759,55600,304,753455
2015-08-12,9.28759,9.321,9.02701,9.12724,110700,378,1525519
2015-08-13,9.18737,9.33437,9.04705,9.24082,301300,1170,4181242
2015-08-14,9.34105,9.34105,8.96687,8.96687,37700,106,520142
2015-08-17,9.00696,9.2141,8.96687,9.15396,35600,145,484097
2015-08-18,9.15396,9.55486,9.15396,9.55486,178400,503,2486951
2015-08-19,9.44127,9.44127,9.22746,9.35441,77800,235,1089725
2015-08-20,9.34773,9.35441,9.10051,9.28759,144800,547,1991781
2015-08-21,9.18737,9.27423,9.08715,9.09383,89800,408,1229257
2015-08-24,9.02033,9.19405,8.65283,8.95351,295800,781,3937288
2015-08-25,8.96687,9.2475,8.95351,9.22078,325500,1060,4463984
2015-08-26,9.22078,9.38782,9.13392,9.321,352000,454,4879280
2015-08-27,9.22078,9.30096,9.07378,9.12055,316800,1303,4331218
2015-08-28,9.02701,9.17401,8.77978,8.95351,312900,1614,4208511
2015-08-31,8.85328,8.98692,8.52588,8.74638,635200,2170,8247575
2015-09-01,8.73969,8.73969,8.2987,8.41897,598600,2232,7574566
2015-09-02,8.47242,8.50583,8.07152,8.48579,331800,1060,4129992
2015-09-03,8.45906,8.54593,8.10493,8.2252,515000,1120,6393723
2015-09-04,8.21891,8.27925,7.71613,7.97758,458900,1390,5417147
2015-09-08,8.03791,8.03791,7.77646,7.97758,189300,361,2230241
2015-09-09,8.09825,8.09825,7.6759,7.70942,472100,684,5447684
2015-09-10,7.46138,7.64238,7.26697,7.57535,433800,1161,4824398
2015-09-11,7.52172,7.60216,7.30719,7.30719,351800,1127,3872106
2015-09-14,7.39434,7.60216,7.06585,7.5016,335300,1208,3723465
2015-09-15,7.5016,7.62898,7.22675,7.22675,358900,1307,3918227
2015-09-16,7.28038,7.54183,7.1463,7.54183,285000,1094,3135209
2015-09-17,7.41445,7.55523,7.34071,7.5016,125300,422,1387928
2015-09-18,7.50831,7.50831,7.23345,7.27367,418700,802,4566776
2015-09-21,7.24015,7.47479,7.01222,7.1463,168700,935,1803367
2015-09-22,7.15971,7.15971,6.60329,6.83122,469600,1332,4720086
2015-09-23,6.82452,6.84463,6.2681,6.33513,557100,1805,5330013
