Date,Open,High,Low,Close,Volume,Neg,Fin
2010-01-04,13.7772,13.79645,13.52694,13.76437,138700,38,2980335
2010-01-05,13.76437,14.18147,13.7002,13.75795,193500,44,4163422
2010-01-06,13.79645,15.00926,13.7002,14.18789,273300,105,5931431
2010-01-07,14.56649,14.56649,14.05313,14.37398,103200,136,2283977
2010-01-08,14.63066,14.63066,14.34189,14.43815,24500,41,551140
2010-01-11,14.69483,14.91942,14.37398,14.759,128200,228,2938733
2010-01-12,14.78466,14.79108,14.69483,14.75257,99500,41,2289422
2010-01-13,14.913,14.913,14.66274,14.66274,73400,41,1686142
2010-01-14,14.64349,14.759,14.59857,14.72691,5700,18,130483
2010-01-15,14.66274,14.69483,14.66274,14.68841,48100,32,1100483
2010-01-18,14.759,14.759,14.66274,14.66274,18400,96,422510
2010-01-19,14.75257,14.759,14.66274,14.66274,2100,8,48131
2010-01-20,14.50231,14.50231,14.24564,14.24564,149500,73,3332297
2010-01-21,14.46382,14.46382,13.92479,14.30981,79500,67,1745116
2010-01-22,14.30339,14.30981,14.26489,14.27773,51000,34,1134393
2010-01-26,14.27773,14.27773,14.23922,14.23922,1000,3,22196
2010-01-27,14.26489,14.26489,14.1173,14.1173,11800,19,259728
2010-01-28,14.27773,14.759,14.24564,14.759,170200,97,3792951
2010-01-29,15.04776,15.11193,14.82316,15.06701,49600,98,1161113
2010-02-01,15.06701,15.5932,14.91942,15.58678,23100,46,545847
2010-02-02,15.84988,16.17072,15.52903,16.17072,45500,55,1120801
2010-02-03,16.29906,16.32473,16.04239,16.32473,20200,26,511794
2010-02-04,16.10655,16.23489,15.72154,16.00389,29500,29,733868
2010-02-05,16.02313,16.02313,15.20818,15.66378,10300,20,252255
2010-02-08,15.72154,15.72154,15.49694,15.72154,2100,6,51415
2010-02-09,15.72154,16.07447,15.68945,16.07447,26400,23,653341
2010-02-10,16.20281,16.20281,15.72154,15.72154,100900,50,2514908
2010-02-11,15.75362,15.91405,15.72154,15.91405,8600,12,210959
2010-02-12,15.62528,16.04239,15.62528,15.88196,74200,131,1848852
2010-02-17,16.04239,16.04239,15.78571,15.81137,26000,61,643279
2010-02-18,15.72154,15.72154,15.30444,15.46486,33000,61,795236
2010-02-19,15.52903,15.52903,15.07984,15.20818,22900,25,543459
2010-02-22,15.30444,15.40069,15.15043,15.24027,66600,63,1581618
2010-02-23,15.24027,15.33652,15.07984,15.33652,21300,38,503199
