Date,Open,High,Low,Close,Currency
2011-01-25,0.999,0.999,0.999,0.999,BRL
2011-01-26,0.991,0.991,0.991,0.991,BRL
2011-01-27,0.977,0.977,0.977,0.977,BRL
2011-01-28,0.956,0.956,0.956,0.956,BRL
2011-01-31,0.953,0.953,0.953,0.953,BRL
2011-02-01,0.976,0.976,0.976,0.976,BRL
2011-02-02,0.962,0.962,0.962,0.962,BRL
2011-02-03,0.963,0.963,0.963,0.963,BRL
2011-02-04,0.938,0.938,0.938,0.938,BRL
2011-02-07,0.936,0.936,0.936,0.936,BRL
2011-02-08,0.946,0.946,0.946,0.946,BRL
2011-02-09,0.923,0.923,0.923,0.923,BRL
2011-02-10,0.931,0.931,0.931,0.931,BRL
2011-02-11,0.945,0.945,0.945,0.945,BRL
2011-02-14,0.956,0.956,0.956,0.956,BRL
2011-02-15,0.957,0.957,0.957,0.957,BRL
2011-02-16,0.977,0.977,0.977,0.977,BRL
2011-02-17,0.98,0.98,0.98,0.98,BRL
2011-02-18,0.985,0.985,0.985,0.985,BRL
2011-02-21,0.98,0.98,0.98,0.98,BRL
2011-02-22,0.967,0.967,0.967,0.967,BRL
2011-02-23,0.975,0.975,0.975,0.975,BRL
2011-02-24,0.975,0.975,0.975,0.975,BRL
2011-02-25,0.974,0.974,0.974,0.974,BRL
2011-02-28,0.985,0.985,0.985,0.985,BRL
2011-03-01,0.974,0.974,0.974,0.974,BRL
2011-03-02,0.989,0.989,0.989,0.989,BRL
2011-03-03,0.999,0.999,0.999,0.999,BRL
2011-03-04,0.997,0.997,0.997,0.997,BRL
2011-03-09,0.992,0.992,0.992,0.992,BRL
2011-03-10,0.972,0.972,0.972,0.972,BRL
2011-03-11,0.98,0.98,0.98,0.98,BRL
2011-03-14,0.986,0.986,0.986,0.986,BRL
2011-03-15,0.983,0.983,0.983,0.983,BRL
2011-03-16,0.973,0.973,0.973,0.973,BRL
2011-03-17,0.973,0.973,0.973,0.973,BRL
2011-03-18,0.983,0.983,0.983,0.983,BRL
2011-03-21,0.98,0.98,0.98,0.98,BRL
2011-03-22,0.994,0.994,0.994,0.994,BRL
2011-03-23,0.996,0.996,0.996,0.996,BRL
2011-03-24,0.991,0.991,0.991,0.991,BRL
2011-03-25,0.998,0.998,0.998,0.998,BRL
2011-03-28,0.989,0.989,0.989,0.989,BRL
2011-03-29,0.989,0.989,0.989,0.989,BRL
2011-03-30,0.994,0.994,0.994,0.994,BRL
2011-03-31,1.005,1.005,1.005,1.005,BRL
2011-04-01,1.016,1.016,1.016,1.016,BRL
2011-04-04,1.02,1.02,1.02,1.02,BRL
2011-04-05,1.023,1.023,1.023,1.023,BRL
2011-04-06,1.01,1.01,1.01,1.01,BRL
2011-04-07,1.013,1.013,1.013,1.013,BRL
2011-04-08,1.003,1.003,1.003,1.003,BRL
2011-04-11,0.998,0.998,0.998,0.998,BRL
2011-04-12,0.974,0.974,0.974,0.974,BRL
2011-04-13,0.969,0.969,0.969,0.969,BRL
2011-04-14,0.97,0.97,0.97,0.97,BRL
2011-04-15,0.977,0.977,0.977,0.977,BRL
2011-04-18,0.945,0.945,0.945,0.945,BRL
2011-04-19,0.957,0.957,0.957,0.957,BRL
2011-04-20,0.976,0.976,0.976,0.976,BRL
2011-04-25,0.971,0.971,0.971,0.971,BRL
2011-04-26,0.967,0.967,0.967,0.967,BRL
2011-04-27,0.95,0.95,0.95,0.95,BRL
2011-04-28,0.938,0.938,0.938,0.938,BRL
2011-04-29,0.954,0.954,0.954,0.954,BRL
2011-05-02,0.946,0.946,0.946,0.946,BRL
2011-05-03,0.928,0.928,0.928,0.928,BRL
2011-05-04,0.913,0.913,0.913,0.913,BRL
2011-05-05,0.893,0.893,0.893,0.893,BRL
2011-05-06,0.911,0.911,0.911,0.911,BRL
2011-05-09,0.921,0.921,0.921,0.921,BRL
2011-05-10,0.929,0.929,0.929,0.929,BRL
2011-05-11,0.917,0.917,0.917,0.917,BRL
2011-05-12,0.915,0.915,0.915,0.915,BRL
2011-05-13,0.905,0.905,0.905,0.905,BRL
2011-05-16,0.893,0.893,0.893,0.893,BRL
2011-05-17,0.906,0.906,0.906,0.906,BRL
2011-05-18,0.898,0.898,0.898,0.898,BRL
2011-05-19,0.888,0.888,0.888,0.888,BRL
2011-05-20,0.9,0.9,0.9,0.9,BRL
2011-05-23,0.893,0.893,0.893,0.893,BRL
2011-05-24,0.9,0.9,0.9,0.9,BRL
2011-05-25,0.899,0.899,0.899,0.899,BRL
2011-05-26,0.91,0.91,0.91,0.91,BRL
2011-05-27,0.917,0.917,0.917,0.917,BRL
2011-05-30,0.924,0.924,0.924,0.924,BRL
2011-05-31,0.936,0.936,0.936,0.936,BRL
2011-06-01,0.917,0.917,0.917,0.917,BRL
2011-06-02,0.926,0.926,0.926,0.926,BRL
2011-06-03,0.937,0.937,0.937,0.937,BRL
2011-06-06,0.926,0.926,0.926,0.926,BRL
2011-06-07,0.932,0.932,0.932,0.932,BRL
2011-06-08,0.929,0.929,0.929,0.929,BRL
2011-06-09,0.931,0.931,0.931,0.931,BRL
2011-06-10,0.919,0.919,0.919,0.919,BRL
2011-06-13,0.909,0.909,0.909,0.909,BRL
2011-06-14,0.906,0.906,0.906,0.906,BRL
2011-06-15,0.894,0.894,0.894,0.894,BRL
2011-06-16,0.883,0.883,0.883,0.883,BRL
2011-06-17,0.883,0.883,0.883,0.883,BRL
2011-06-20,0.882,0.882,0.882,0.882,BRL
2011-06-21,0.889,0.889,0.889,0.889,BRL
2011-06-22,0.881,0.881,0.881,0.881,BRL
2011-06-24,0.883,0.883,0.883,0.883,BRL
2011-06-27,0.873,0.873,0.873,0.873,BRL
2011-06-28,0.88,0.88,0.88,0.88,BRL
2011-06-29,0.886,0.886,0.886,0.886,BRL
2011-06-30,0.897,0.897,0.897,0.897,BRL
2011-07-01,0.904,0.904,0.904,0.904,BRL
2011-07-04,0.919,0.919,0.919,0.919,BRL
2011-07-05,0.909,0.909,0.909,0.909,BRL
2011-07-06,0.911,0.911,0.911,0.911,BRL
2011-07-07,0.911,0.911,0.911,0.911,BRL
2011-07-08,0.901,0.901,0.901,0.901,BRL
2011-07-11,0.884,0.884,0.884,0.884,BRL
2011-07-12,0.877,0.877,0.877,0.877,BRL
2011-07-13,0.882,0.882,0.882,0.882,BRL
2011-07-14,0.869,0.869,0.869,0.869,BRL
2011-07-15,0.865,0.865,0.865,0.865,BRL
2011-07-18,0.849,0.849,0.849,0.849,BRL
2011-07-19,0.853,0.853,0.853,0.853,BRL
2011-07-20,0.858,0.858,0.858,0.858,BRL
2011-07-21,0.869,0.869,0.869,0.869,BRL
2011-07-22,0.873,0.873,0.873,0.873,BRL
2011-07-25,0.864,0.864,0.864,0.864,BRL
2011-07-26,0.856,0.856,0.856,0.856,BRL
2011-07-27,0.84,0.84,0.84,0.84,BRL
2011-07-28,0.84,0.84,0.84,0.84,BRL
2011-07-29,0.847,0.847,0.847,0.847,BRL
2011-08-01,0.844,0.844,0.844,0.844,BRL
2011-08-02,0.829,0.829,0.829,0.829,BRL
2011-08-03,0.805,0.805,0.805,0.805,BRL
2011-08-04,0.758,0.758,0.758,0.758,BRL
2011-08-05,0.762,0.762,0.762,0.762,BRL
2011-08-08,0.706,0.706,0.706,0.706,BRL
2011-08-09,0.744,0.744,0.744,0.744,BRL
2011-08-10,0.748,0.748,0.748,0.748,BRL
2011-08-11,0.775,0.775,0.775,0.775,BRL
