Date,Open,High,Low,Close,Currency
2010-12-23,1.0,1.0,1.0,1.0,BRL
2010-12-24,1.0,1.0,1.0,1.0,BRL
2010-12-27,0.986,0.986,0.986,0.986,BRL
2010-12-28,0.988,0.988,0.988,0.988,BRL
2010-12-29,0.995,0.995,0.995,0.995,BRL
2010-12-30,1.004,1.004,1.004,1.004,BRL
2010-12-31,1.004,1.004,1.004,1.004,BRL
2011-01-03,1.01,1.01,1.01,1.01,BRL
2011-01-04,1.01,1.01,1.01,1.01,BRL
2011-01-05,1.012,1.012,1.012,1.012,BRL
2011-01-06,0.999,0.999,0.999,0.999,BRL
2011-01-07,0.991,0.991,0.991,0.991,BRL
2011-01-10,0.994,0.994,0.994,0.994,BRL
2011-01-11,1.001,1.001,1.001,1.001,BRL
2011-01-12,1.015,1.015,1.015,1.015,BRL
2011-01-13,1.008,1.008,1.008,1.008,BRL
2011-01-14,1.005,1.005,1.005,1.005,BRL
2011-01-17,1.004,1.004,1.004,1.004,BRL
2011-01-18,1.005,1.005,1.005,1.005,BRL
2011-01-19,0.994,0.994,0.994,0.994,BRL
2011-01-20,0.988,0.988,0.988,0.988,BRL
2011-01-21,0.984,0.984,0.984,0.984,BRL
2011-01-24,0.987,0.987,0.987,0.987,BRL
2011-01-25,0.987,0.987,0.987,0.987,BRL
2011-01-26,0.976,0.976,0.976,0.976,BRL
2011-01-27,0.966,0.966,0.966,0.966,BRL
2011-01-28,0.949,0.949,0.949,0.949,BRL
2011-01-31,0.946,0.946,0.946,0.946,BRL
2011-02-01,0.958,0.958,0.958,0.958,BRL
2011-02-02,0.942,0.942,0.942,0.942,BRL
2011-02-03,0.935,0.935,0.935,0.935,BRL
2011-02-04,0.92,0.92,0.92,0.92,BRL
2011-02-07,0.919,0.919,0.919,0.919,BRL
2011-02-08,0.928,0.928,0.928,0.928,BRL
2011-02-09,0.909,0.909,0.909,0.909,BRL
2011-02-10,0.91,0.91,0.91,0.91,BRL
2011-02-11,0.923,0.923,0.923,0.923,BRL
2011-02-14,0.934,0.934,0.934,0.934,BRL
2011-02-15,0.937,0.937,0.937,0.937,BRL
2011-02-16,0.945,0.945,0.945,0.945,BRL
2011-02-17,0.948,0.948,0.948,0.948,BRL
2011-02-18,0.954,0.954,0.954,0.954,BRL
2011-02-21,0.95,0.95,0.95,0.95,BRL
2011-02-22,0.944,0.944,0.944,0.944,BRL
2011-02-23,0.949,0.949,0.949,0.949,BRL
2011-02-24,0.942,0.942,0.942,0.942,BRL
2011-02-25,0.942,0.942,0.942,0.942,BRL
2011-02-28,0.953,0.953,0.953,0.953,BRL
2011-03-01,0.943,0.943,0.943,0.943,BRL
2011-03-02,0.953,0.953,0.953,0.953,BRL
2011-03-03,0.957,0.957,0.957,0.957,BRL
2011-03-04,0.957,0.957,0.957,0.957,BRL
2011-03-09,0.961,0.961,0.961,0.961,BRL
2011-03-10,0.949,0.949,0.949,0.949,BRL
2011-03-11,0.953,0.953,0.953,0.953,BRL
2011-03-14,0.957,0.957,0.957,0.957,BRL
2011-03-15,0.955,0.955,0.955,0.955,BRL
2011-03-16,0.945,0.945,0.945,0.945,BRL
2011-03-17,0.947,0.947,0.947,0.947,BRL
2011-03-18,0.954,0.954,0.954,0.954,BRL
2011-03-21,0.956,0.956,0.956,0.956,BRL
2011-03-22,0.967,0.967,0.967,0.967,BRL
2011-03-23,0.967,0.967,0.967,0.967,BRL
2011-03-24,0.964,0.964,0.964,0.964,BRL
2011-03-25,0.971,0.971,0.971,0.971,BRL
2011-03-28,0.969,0.969,0.969,0.969,BRL
2011-03-29,0.971,0.971,0.971,0.971,BRL
2011-03-30,0.973,0.973,0.973,0.973,BRL
2011-03-31,0.983,0.983,0.983,0.983,BRL
2011-04-01,0.992,0.992,0.992,0.992,BRL
2011-04-04,0.994,0.994,0.994,0.994,BRL
2011-04-05,0.993,0.993,0.993,0.993,BRL
2011-04-06,0.988,0.988,0.988,0.988,BRL
2011-04-07,0.988,0.988,0.988,0.988,BRL
2011-04-08,0.985,0.985,0.985,0.985,BRL
2011-04-11,0.985,0.985,0.985,0.985,BRL
2011-04-12,0.975,0.975,0.975,0.975,BRL
2011-04-13,0.97,0.97,0.97,0.97,BRL
2011-04-14,0.97,0.97,0.97,0.97,BRL
2011-04-15,0.972,0.972,0.972,0.972,BRL
2011-04-18,0.966,0.966,0.966,0.966,BRL
2011-04-19,0.971,0.971,0.971,0.971,BRL
2011-04-20,0.98,0.98,0.98,0.98,BRL
2011-04-25,0.98,0.98,0.98,0.98,BRL
2011-04-26,0.98,0.98,0.98,0.98,BRL
2011-04-27,0.973,0.973,0.973,0.973,BRL
2011-04-28,0.965,0.965,0.965,0.965,BRL
2011-04-29,0.971,0.971,0.971,0.971,BRL
2011-05-02,0.971,0.971,0.971,0.971,BRL
2011-05-03,0.96,0.96,0.96,0.96,BRL
2011-05-04,0.95,0.95,0.95,0.95,BRL
2011-05-05,0.949,0.949,0.949,0.949,BRL
2011-05-06,0.96,0.96,0.96,0.96,BRL
2011-05-09,0.966,0.966,0.966,0.966,BRL
2011-05-10,0.965,0.965,0.965,0.965,BRL
2011-05-11,0.953,0.953,0.953,0.953,BRL
2011-05-12,0.949,0.949,0.949,0.949,BRL
2011-05-13,0.941,0.941,0.941,0.941,BRL
2011-05-16,0.938,0.938,0.938,0.938,BRL
2011-05-17,0.943,0.943,0.943,0.943,BRL
2011-05-18,0.938,0.938,0.938,0.938,BRL
2011-05-19,0.93,0.93,0.93,0.93,BRL
2011-05-20,0.93,0.93,0.93,0.93,BRL
2011-05-23,0.924,0.924,0.924,0.924,BRL
2011-05-24,0.931,0.931,0.931,0.931,BRL
2011-05-25,0.928,0.928,0.928,0.928,BRL
2011-05-26,0.935,0.935,0.935,0.935,BRL
2011-05-27,0.94,0.94,0.94,0.94,BRL
2011-05-30,0.938,0.938,0.938,0.938,BRL
2011-05-31,0.949,0.949,0.949,0.949,BRL
2011-06-01,0.941,0.941,0.941,0.941,BRL
2011-06-02,0.943,0.943,0.943,0.943,BRL
2011-06-03,0.94,0.94,0.94,0.94,BRL
2011-06-06,0.936,0.936,0.936,0.936,BRL
2011-06-07,0.937,0.937,0.937,0.937,BRL
2011-06-08,0.937,0.937,0.937,0.937,BRL
2011-06-09,0.934,0.934,0.934,0.934,BRL
2011-06-10,0.928,0.928,0.928,0.928,BRL
2011-06-13,0.923,0.923,0.923,0.923,BRL
2011-06-14,0.926,0.926,0.926,0.926,BRL
2011-06-15,0.922,0.922,0.922,0.922,BRL
2011-06-16,0.921,0.921,0.921,0.921,BRL
2011-06-17,0.914,0.914,0.914,0.914,BRL
2011-06-20,0.913,0.913,0.913,0.913,BRL
2011-06-21,0.917,0.917,0.917,0.917,BRL
2011-06-22,0.913,0.913,0.913,0.913,BRL
2011-06-24,0.918,0.918,0.918,0.918,BRL
2011-06-27,0.914,0.914,0.914,0.914,BRL
2011-06-28,0.921,0.921,0.921,0.921,BRL
2011-06-29,0.921,0.921,0.921,0.921,BRL
2011-06-30,0.925,0.925,0.925,0.925,BRL
2011-07-01,0.926,0.926,0.926,0.926,BRL
2011-07-04,0.925,0.925,0.925,0.925,BRL
2011-07-05,0.922,0.922,0.922,0.922,BRL
2011-07-06,0.919,0.919,0.919,0.919,BRL
2011-07-07,0.915,0.915,0.915,0.915,BRL
2011-07-08,0.906,0.906,0.906,0.906,BRL
2011-07-11,0.891,0.891,0.891,0.891,BRL
2011-07-12,0.888,0.888,0.888,0.888,BRL
